,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.7,1.0,0.4,0.57,0.75
n2cms.csv,0.98,0.27,0.28,0.26,0.62
nassp.csv,0.47,0.4,0.55,1.0,0.75
nug.csv,0.47,0.35,1.0,0.18,0.55
oorexx.csv,0.35,0.26,0.32,0.29,1.0
