,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.04,0.0,0.17,0.07,0.08
n2cms.csv,0.01,0.37,0.58,0.37,0.72
nassp.csv,0.11,0.1,0.14,0.0,0.04
nug.csv,0.55,0.18,0.0,0.3,0.72
oorexx.csv,0.57,0.53,0.64,0.52,0.0
