,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.41,0.45,0.54,0.32,0.41,0.23,0.07,0.69,0.07,0.89,1.0,0.0,0.49
badtrinity-zero.csv,0.69,0.0,0.65,0.0,0.36,0.08,0.06,0.0,0.18,0.9,0.94,0.77,0.51
bibletime.csv,0.51,0.65,0.59,0.45,0.36,0.11,0.1,0.73,0.1,0.92,0.91,0.86,0.61
critterding.csv,0.44,0.64,0.48,0.31,0.31,0.07,0.07,0.73,0.1,0.82,0.88,0.81,0.49
elateportal.csv,0.41,0.46,0.61,0.39,0.44,0.11,0.05,0.75,0.05,0.86,1.0,0.76,0.49
fmri-dmt.csv,0.4,0.4,0.44,0.31,0.23,0.05,0.08,0.64,0.32,0.79,0.89,0.76,0.32
ftm.csv,0.51,0.6,0.74,0.52,0.53,0.1,0.07,0.71,0.33,1.0,1.0,0.82,0.64
gusanos.csv,0.39,0.44,0.64,0.41,0.39,0.18,0.04,0.9,0.11,0.85,0.91,0.0,0.4
monetdb.csv,0.43,0.5,0.65,0.61,0.52,0.18,0.05,0.93,0.17,0.89,0.97,1.0,0.47
quarkplayer.csv,0.45,0.57,0.47,0.35,0.06,0.06,0.13,0.62,0.12,0.86,0.0,0.62,0.33
reactos-mirror.csv,0.63,0.59,0.57,0.46,0.44,0.09,0.08,0.7,0.11,0.9,0.94,0.75,0.35
sandiaportals.csv,0.47,0.51,0.59,0.41,0.43,0.12,0.07,0.7,0.09,0.91,0.0,0.93,0.54
xbplayer.csv,0.45,0.57,0.62,0.55,0.58,0.18,0.04,0.87,0.1,0.89,0.88,0.93,0.6
