,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.76,1.0,0.48,1.0,0.55,0.67,0.36,0.99,0.5,0.86,0.75,0.0,0.98
badtrinity-zero.csv,0.12,0.0,0.67,0.0,0.94,1.0,0.09,0.0,0.5,0.8,0.7,0.92,0.82
bibletime.csv,0.66,0.44,0.62,0.48,0.79,0.83,0.73,0.36,0.67,0.7,0.91,0.68,0.28
critterding.csv,0.68,0.62,0.86,0.67,0.89,0.83,1.0,0.64,1.0,0.98,0.8,0.66,0.9
elateportal.csv,0.81,0.85,0.58,0.93,0.83,0.83,0.55,0.84,0.17,0.67,0.95,0.96,0.93
fmri-dmt.csv,0.65,0.56,0.63,0.93,0.26,0.33,0.82,0.61,1.0,0.67,0.89,0.85,0.34
ftm.csv,0.6,0.18,0.22,0.33,0.68,0.5,0.36,0.07,0.33,0.32,0.05,0.53,0.72
gusanos.csv,0.27,0.74,0.41,0.86,0.94,0.25,0.09,0.84,0.67,0.61,0.68,0.0,0.13
monetdb.csv,0.5,0.35,0.38,0.26,0.64,0.58,0.36,0.39,0.17,0.12,0.75,0.3,0.74
quarkplayer.csv,0.41,0.12,0.43,0.29,0.02,0.08,0.64,0.07,0.5,0.29,0.0,0.19,0.03
reactos-mirror.csv,0.62,0.68,0.59,0.79,0.77,0.67,0.73,0.72,0.83,0.79,1.0,1.0,0.13
sandiaportals.csv,0.58,0.65,0.51,0.81,0.74,0.58,0.91,0.67,0.5,0.8,0.0,0.79,0.82
xbplayer.csv,0.27,0.47,0.39,0.74,0.55,0.5,0.18,0.51,0.33,0.52,0.34,0.49,0.44
