,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.83,0.19,0.92,0.93,0.76,0.93,0.82,0.98,0.83,1.02
libtorrent.csv,0.6,0.67,0.61,0.54,0.84,0.41,0.75,0.76,0.62,0.64
mcmc-jags.csv,0.62,0.71,0.86,0.2,0.72,0.66,0.78,0.51,0.84,0.73
nebuladevice.csv,0.93,0.94,1.0,0.79,1.0,0.7,0.64,1.0,0.36,0.47
olap-navigator.csv,0.18,0.72,0.43,0.55,0.49,0.65,0.59,0.59,0.61,0.41
pidgin.csv,0.52,0.55,0.7,0.42,0.41,0.62,0.45,0.8,0.77,0.37
salasaga.csv,0.79,0.74,0.79,0.66,0.55,0.71,0.49,0.39,0.63,0.59
sepgsql.csv,0.38,0.6,0.38,0.69,0.44,0.61,0.52,0.54,0.87,0.23
xstore.csv,0.74,0.79,0.92,0.54,0.68,0.69,0.42,0.52,0.7,0.74
xtreemfs.csv,0.41,0.66,0.9,0.47,0.85,0.52,0.6,0.63,0.95,0.26
