,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.63,0.13,0.67,0.57,0.5,0.83,0.61,0.98,0.63,0.72
libtorrent.csv,0.59,0.57,0.6,0.52,0.84,0.33,0.73,0.69,0.62,0.64
mcmc-jags.csv,0.37,0.63,0.85,0.14,0.7,0.61,0.78,0.32,0.77,0.72
nebuladevice.csv,0.89,0.37,0.0,0.71,0.02,0.39,0.37,0.01,0.24,0.43
olap-navigator.csv,0.04,0.33,0.42,0.14,0.27,0.0,0.37,0.25,0.3,0.39
pidgin.csv,0.33,0.5,0.51,0.12,0.31,0.28,0.29,0.8,0.24,0.36
salasaga.csv,0.67,0.7,0.74,0.57,0.5,0.56,0.44,0.29,0.34,0.59
sepgsql.csv,0.04,0.43,0.33,0.17,0.34,0.0,0.34,0.32,0.08,0.13
xstore.csv,0.59,0.3,0.92,0.1,0.67,0.17,0.29,0.34,0.35,0.74
xtreemfs.csv,0.33,0.43,0.9,0.38,0.84,0.28,0.59,0.56,0.2,0.23
