,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.4,0.3,0.43,0.11,0.01,0.3,0.61,0.52,0.56,0.85,0.67,0.43
emulemorph.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.0
jaxen.csv,0.07,0.0,0.05,0.03,0.0,0.0,0.02,0.0,0.07,0.02,0.0,0.01
jvcl.csv,0.21,0.0,0.0,0.25,0.45,0.1,0.66,0.63,0.01,0.43,0.0,0.06
m-m-m.csv,0.47,0.92,0.53,0.72,0.74,0.0,0.66,0.99,0.48,0.65,0.78,0.64
motu.csv,0.66,0.14,0.34,0.01,0.01,0.1,0.02,0.11,0.01,0.0,0.0,0.08
nh3d.csv,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.04,0.0,0.0
sarasvati.csv,0.34,0.01,0.01,0.0,0.01,0.0,0.16,0.02,0.02,0.24,0.01,0.0
wgs-assembler.csv,0.0,0.5,0.28,0.43,0.38,0.4,0.72,0.2,0.26,0.59,0.69,0.24
zabbix.csv,0.73,0.5,0.97,0.7,0.77,0.7,0.82,0.44,0.86,0.67,0.01,0.64
