,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,8.0,0.0,2.0,17.0,0.0,0.0,61.0,40.0,0.0,12.0,1.0,103.0
emulemorph.csv,108.0,355.0,158.0,169.0,92.0,60.0,61.0,86.0,0.0,58.0,161.0,103.0
jaxen.csv,2.0,355.0,2.0,4.0,0.0,60.0,61.0,0.0,2.0,0.0,161.0,103.0
jvcl.csv,0.0,355.0,0.0,13.0,10.0,0.0,61.0,51.0,109.0,11.0,161.0,103.0
m-m-m.csv,2.0,0.0,2.0,13.0,6.0,0.0,40.0,70.0,47.0,5.0,0.0,65.0
motu.csv,1.0,24.0,1.0,2.0,0.0,0.0,61.0,8.0,109.0,0.0,161.0,103.0
nh3d.csv,108.0,0.0,158.0,169.0,0.0,60.0,61.0,86.0,109.0,58.0,0.0,103.0
sarasvati.csv,3.0,2.0,158.0,0.0,92.0,60.0,61.0,86.0,109.0,4.0,0.0,103.0
wgs-assembler.csv,0.0,23.0,26.0,10.0,7.0,0.0,44.0,14.0,25.0,10.0,0.0,103.0
zabbix.csv,3.0,142.0,7.0,18.0,14.0,0.0,61.0,32.0,3.0,9.0,0.0,103.0
