,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.26,0.5,0.56,0.09,0.92,0.25,0.0,0.4,1.0,0.69,0.43,0.0
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0
jaxen.csv,0.15,0.0,0.19,0.18,0.04,0.0,0.0,1.0,0.33,0.15,0.0,0.0
jvcl.csv,0.26,0.0,0.94,0.09,0.12,0.39,0.0,0.4,0.0,0.38,0.0,0.0
m-m-m.csv,0.54,0.75,0.44,1.0,0.79,1.0,1.0,1.0,0.33,1.0,0.58,1.0
motu.csv,0.72,0.25,0.38,0.27,0.17,0.12,0.0,0.4,0.0,0.85,0.0,0.0
nh3d.csv,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0
sarasvati.csv,0.28,0.25,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.0
wgs-assembler.csv,0.95,0.75,0.19,0.91,0.33,0.25,1.0,0.4,0.17,0.62,0.4,0.0
zabbix.csv,0.85,0.25,1.0,0.64,0.75,0.8,0.0,0.6,1.0,0.77,1.0,0.0
