,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.26,0.04,0.21,0.07,0.94,0.39,0.0,0.08,0.17,0.3,0.35,0.0
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0
jaxen.csv,0.24,0.0,0.23,0.24,0.08,0.0,0.0,1.0,0.27,0.25,0.0,0.0
jvcl.csv,0.31,0.0,0.97,0.04,0.1,0.56,0.0,0.07,0.0,0.26,0.0,0.0
m-m-m.csv,0.45,0.02,0.14,0.16,0.4,1.0,0.05,0.11,0.07,0.46,0.42,0.03
motu.csv,0.5,0.04,0.17,0.37,0.28,0.21,0.0,0.25,0.0,0.92,0.0,0.0
nh3d.csv,0.0,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.0
sarasvati.csv,0.3,0.25,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.15,0.19,0.0
wgs-assembler.csv,0.97,0.03,0.1,0.22,0.28,0.38,0.04,0.17,0.06,0.33,0.33,0.0
zabbix.csv,0.54,0.01,0.19,0.11,0.38,0.83,0.0,0.14,0.12,0.37,0.99,0.0
