,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.43,0.52,0.61,0.92,0.57
dynalloy.csv,0.65,0.54,0.85,0.61,0.47
findbugs.csv,0.56,0.55,0.44,0.65,0.62
runuomondains.csv,0.43,0.4,0.49,0.73,0.5
xbplayer.csv,0.56,0.5,0.36,0.52,0.34
