,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.61,0.96,0.67,0.96,0.89,0.88
fluent-nhibernate.csv,0.88,0.97,0.49,0.54,0.89,0.58
h2database.csv,0.6,0.59,0.89,0.41,0.96,0.59
jaql.csv,0.39,0.54,0.62,0.49,0.66,0.63
raven-monitoring.csv,0.55,0.5,0.58,0.62,0.79,0.5
v8.csv,0.99,0.69,0.41,0.47,0.49,0.6
