,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.91,0.36,0.56,0.48,0.54,0.57,0.43,0.04,0.09,0.6,0.62,0.45,0.22,0.9,0.99,0.49,0.29
chaosrts.csv,0.92,0.48,0.53,0.41,0.48,0.59,0.27,0.04,0.17,0.58,0.52,0.39,0.21,1.0,0.75,0.49,0.25
cortex-vfx.csv,1.0,0.56,0.58,0.57,0.62,0.75,0.53,0.0,0.0,0.67,0.76,0.31,0.99,0.89,0.92,0.67,0.44
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fritzing.csv,0.88,0.58,1.0,0.59,0.6,0.59,0.55,0.07,0.5,0.81,0.74,0.75,0.23,0.9,0.98,0.53,0.4
jlinalg.csv,1.0,0.37,0.47,0.41,0.49,0.52,0.27,0.04,0.17,0.57,0.52,0.39,0.22,0.88,0.78,0.47,0.24
loki-lib.csv,0.9,0.43,0.62,0.48,0.55,0.69,0.24,0.05,0.14,0.55,0.57,1.0,0.25,0.96,0.7,0.65,0.26
metacosm.csv,0.92,0.62,0.6,0.51,0.59,0.75,0.26,0.04,0.38,0.67,0.67,0.41,0.23,0.96,0.76,1.0,0.32
multitude.csv,0.92,0.62,0.66,0.54,0.59,0.65,0.47,0.07,0.16,0.62,1.0,0.58,0.28,0.92,0.86,0.71,0.4
ng4j.csv,0.93,0.35,0.73,0.73,0.73,0.78,0.71,0.0,0.33,0.84,0.77,0.36,0.26,0.91,0.8,0.65,0.95
phonon-vlc-mplayer.csv,0.76,0.33,0.52,0.57,0.6,0.8,1.0,0.06,0.33,0.75,0.64,0.28,0.26,0.93,0.82,0.47,0.33
playerstage.csv,0.89,0.49,0.61,1.0,0.65,0.45,0.55,0.0,0.08,0.61,0.53,0.48,0.22,0.91,0.9,0.5,0.33
qgis.csv,0.76,0.35,0.56,0.51,1.0,0.81,0.48,0.06,0.17,0.66,0.67,0.56,0.26,0.88,0.91,0.55,0.42
rsyslog.csv,0.97,0.5,0.58,0.52,0.56,0.96,0.51,0.06,0.16,0.62,0.56,0.47,0.22,0.9,0.88,0.55,0.39
rtrt-on-gpu.csv,1.0,0.32,0.4,0.29,0.53,1.0,0.12,0.0,1.0,0.44,0.57,0.18,0.25,0.67,0.71,0.54,0.1
superwaba.csv,0.88,0.96,0.57,0.62,0.66,0.6,0.33,0.06,0.17,0.73,0.66,0.46,0.28,0.91,0.82,0.57,0.21
unflobtactical.csv,0.65,0.27,0.51,0.69,0.6,0.88,0.32,0.05,0.21,1.0,0.63,0.35,0.36,0.85,0.7,0.5,0.28
