,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,kmess.csv,rocrail.csv
kmess.csv,0.57,0.8,0.66,0.78,0.02,0.48
minig.csv,0.76,0.83,0.07,0.91,0.66,0.57
ossbuild.csv,0.97,0.46,0.65,0.19,0.6,0.6
rezilla.csv,0.05,0.97,0.8,1.01,0.85,0.86
rocrail.csv,0.95,0.54,0.87,0.97,0.73,0.18
webdriver.csv,0.95,0.07,0.66,0.78,0.61,0.43
