,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.05,0.89,0.02,0.07,0.0,0.19,0.14,0.0,0.19,0.07,0.12,0.09,0.32,0.07,0.07,0.15,0.07,0.0,0.1,0.03
etherboot.csv,0.38,0.07,0.25,0.07,0.34,0.55,0.37,0.38,0.98,0.29,0.2,0.18,0.57,0.29,0.15,0.45,0.33,0.26,0.56,0.44
gebr.csv,0.63,0.11,0.66,0.26,0.4,0.75,0.46,0.51,0.41,0.69,0.41,0.41,0.94,0.48,0.24,0.68,0.76,0.07,0.71,0.8
gpac.csv,0.51,0.14,0.5,0.23,0.29,0.69,0.35,0.49,0.31,0.98,0.34,0.33,0.69,0.27,0.25,0.64,0.63,0.0,0.51,0.59
gstreamer.csv,0.62,0.18,0.57,0.38,0.48,0.46,0.51,0.56,0.31,0.58,0.3,0.45,0.58,0.44,0.29,0.67,0.66,0.04,0.99,0.72
kml.csv,0.61,0.05,0.56,0.28,0.39,0.58,0.44,0.41,0.35,0.57,0.46,0.38,0.6,0.22,0.21,0.97,0.66,0.14,0.7,0.59
ktc.csv,0.98,0.1,0.53,0.44,0.26,0.34,0.53,0.44,0.26,0.42,0.24,0.48,0.42,0.44,0.21,0.32,0.56,0.24,0.46,0.59
mbse.csv,0.51,0.12,0.43,0.23,0.31,0.38,0.45,0.33,0.42,0.54,0.08,0.95,0.71,0.36,0.19,0.44,0.55,0.22,0.48,0.62
miranda.csv,0.62,0.21,0.55,0.3,0.48,0.51,0.47,0.45,0.44,0.54,0.31,0.41,0.57,0.55,0.21,0.47,0.66,0.13,0.6,0.99
neoengine.csv,0.57,0.11,0.98,0.35,0.39,0.6,0.51,0.42,0.21,0.58,0.27,0.35,0.63,0.38,0.26,0.55,0.69,0.07,0.66,0.7
nicepress.csv,0.55,0.0,0.5,0.26,0.49,0.19,0.46,0.97,0.07,0.54,0.0,0.39,0.49,0.19,0.26,0.63,0.46,0.06,0.48,0.5
omseek.csv,0.11,0.0,0.1,0.21,0.14,0.08,0.04,0.36,0.0,0.19,0.37,0.31,0.0,0.08,0.95,0.15,0.14,0.0,0.08,0.09
pcsx2.csv,0.51,0.1,0.47,0.21,0.41,0.62,0.49,0.44,0.21,0.62,0.22,0.41,0.68,0.41,0.32,0.67,0.99,0.0,0.61,0.75
plplot.csv,0.5,0.13,0.53,0.35,0.38,0.65,0.42,0.61,0.33,0.7,0.33,0.4,0.69,0.92,0.22,0.65,0.79,0.16,0.7,0.67
rosegarden.csv,0.67,0.18,0.45,0.39,0.4,0.47,0.95,0.36,0.27,0.46,0.32,0.48,0.42,0.43,0.23,0.39,0.61,0.1,0.46,0.67
smarttag.csv,0.62,0.0,0.58,0.32,0.39,0.52,0.51,0.5,0.29,0.36,0.92,0.3,0.27,0.45,0.2,0.24,0.51,0.07,0.2,0.47
vapor.csv,0.37,0.0,0.23,0.05,0.94,0.08,0.26,0.3,0.0,0.32,0.45,0.23,0.23,0.0,0.21,0.23,0.08,0.18,0.36,0.29
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zorannt.csv,0.33,0.15,0.26,0.91,0.22,0.51,0.31,0.33,0.22,0.65,0.44,0.38,0.27,0.16,0.2,0.54,0.45,0.18,0.54,0.21
zscreen.csv,0.58,0.13,0.55,0.33,0.45,0.98,0.49,0.56,0.42,0.59,0.44,0.4,0.7,0.48,0.23,0.67,0.71,0.0,0.64,0.73
