,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.34,0.3,0.15,0.23,0.47,0.24,0.22,0.68,0.16,0.44,0.24,0.21,0.27,0.36,0.0,0.42,0.27
enzo.csv,0.85,0.58,0.54,0.62,0.81,0.47,0.72,0.71,0.04,0.79,0.94,0.71,0.67,0.85,0.89,0.91,0.84
hydrogen.csv,0.0,0.07,0.1,0.15,0.22,0.0,0.03,0.3,0.08,0.16,0.03,0.08,0.07,0.08,0.15,0.11,0.19
keyczar.csv,0.67,0.63,0.54,0.43,0.65,0.54,0.71,0.77,0.24,0.72,0.73,0.7,0.07,0.48,0.46,0.9,0.59
lphant.csv,0.93,0.49,0.94,0.38,0.54,0.38,0.53,0.67,0.84,0.44,0.03,0.52,0.2,0.62,0.63,0.59,0.03
lsb.csv,0.0,0.4,0.26,0.32,0.4,0.38,0.51,0.61,0.24,0.44,0.52,0.4,0.53,0.8,0.59,0.59,0.67
maya-work-in-progress.csv,0.27,0.65,0.69,0.02,0.61,0.59,0.59,0.76,0.6,0.74,0.58,0.59,0.27,0.77,0.61,0.62,0.52
mcore3d.csv,0.45,0.0,0.66,0.6,0.33,0.35,0.4,0.36,0.2,0.74,0.48,0.87,0.6,0.77,0.5,0.32,0.27
mscore.csv,0.18,0.28,0.06,0.09,0.0,0.34,0.37,0.46,0.16,0.44,0.3,0.22,0.2,0.52,0.2,0.56,0.55
natpad.csv,0.71,0.19,0.62,0.23,0.19,0.43,0.26,0.45,0.72,0.23,0.12,0.22,0.27,0.34,0.07,0.26,0.0
rocrail.csv,0.0,0.04,0.01,0.0,0.02,0.04,0.04,0.09,0.0,0.07,0.03,0.09,0.0,0.0,0.07,0.0,0.11
salasaga.csv,0.93,0.79,0.96,0.98,0.92,0.91,0.85,0.75,0.76,0.6,0.64,0.0,0.87,0.9,0.91,0.88,0.84
virtuoso.csv,0.03,0.25,0.13,0.21,0.27,0.21,0.69,0.0,0.04,0.23,0.64,0.03,0.13,0.84,0.3,0.28,0.09
xemeiah.csv,0.5,0.35,0.18,0.02,0.26,0.17,0.01,0.49,0.28,0.3,0.06,0.55,0.27,0.3,0.2,0.39,0.62
xined.csv,0.53,0.21,0.06,0.02,0.2,0.31,0.08,0.06,0.0,0.0,0.06,0.05,0.0,0.28,0.11,0.08,0.69
xtreemfs.csv,0.0,0.21,0.41,0.0,0.21,0.22,0.5,0.24,0.08,0.42,0.67,0.1,0.0,0.0,0.52,0.22,0.14
yield.csv,0.62,0.54,0.01,0.32,0.54,0.5,0.56,0.63,0.96,0.65,0.7,0.41,0.53,0.66,0.63,0.54,0.55
