,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.23,0.34,0.51,0.45,0.57,0.59,0.52,0.6,0.31,0.51,0.54,0.54,0.44,0.5,0.98,0.76,0.37
enzo.csv,0.44,0.66,0.67,0.66,0.52,0.78,0.58,0.62,0.98,0.48,0.23,0.62,0.67,0.46,0.36,0.33,0.46
hydrogen.csv,0.55,0.12,0.19,0.07,0.39,1.0,0.28,0.57,0.25,0.34,0.22,0.25,0.07,0.18,0.46,0.63,0.53
keyczar.csv,0.69,0.64,0.67,0.64,0.62,0.74,0.57,0.58,0.62,0.58,0.56,0.65,0.99,0.33,0.55,0.34,0.67
lphant.csv,0.26,0.59,0.24,0.81,0.66,0.81,0.71,0.59,0.41,0.67,0.99,0.55,0.56,0.72,0.62,0.75,0.23
lsb.csv,0.97,0.53,0.45,0.63,0.65,0.72,0.56,0.61,0.8,0.67,0.66,0.66,0.7,0.47,0.64,0.78,0.59
maya-work-in-progress.csv,0.73,0.63,0.64,0.97,0.69,0.61,0.72,0.57,0.66,0.6,0.69,0.76,0.55,0.56,0.69,0.71,0.64
mcore3d.csv,0.19,0.98,0.61,0.66,0.66,0.63,0.58,0.33,0.73,0.57,0.57,0.41,0.67,0.55,0.62,0.72,0.59
mscore.csv,0.11,0.38,0.31,0.63,0.99,0.63,0.54,0.62,0.49,0.59,0.72,0.58,0.46,0.72,0.54,0.77,0.67
natpad.csv,0.6,0.3,0.44,0.38,0.32,0.51,0.57,0.41,0.38,0.54,0.21,0.47,0.27,0.23,0.21,0.58,0.96
rocrail.csv,0.02,0.11,0.17,0.11,0.2,0.61,0.21,0.43,0.1,0.24,0.27,0.25,0.05,0.11,0.35,0.93,0.4
salasaga.csv,0.27,0.47,0.16,0.09,0.28,0.33,0.42,0.59,0.47,0.61,0.43,0.94,0.42,0.33,0.32,0.35,0.37
virtuoso.csv,0.28,0.42,0.42,0.29,0.52,0.65,0.6,0.94,0.25,0.71,0.65,0.13,0.05,0.47,0.67,0.61,0.15
xemeiah.csv,0.55,0.33,0.55,0.26,0.54,0.71,0.97,0.61,0.69,0.44,0.55,0.62,0.27,0.39,0.49,0.77,0.66
xined.csv,0.69,0.21,0.1,0.07,0.29,0.42,0.21,0.15,0.04,0.92,0.27,0.51,0.0,0.19,0.27,0.06,0.67
xtreemfs.csv,0.02,0.4,0.7,0.33,0.46,0.71,0.74,0.44,0.3,0.51,0.59,0.29,0.1,1.0,0.69,0.62,0.45
yield.csv,0.46,0.63,0.98,0.61,0.67,0.68,0.72,0.65,0.17,0.52,0.65,0.74,0.6,0.65,0.68,0.78,0.7
