,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.71,0.0,0.0,0.28,0.41,0.17,0.05,0.39,0.43,0.0,0.0,0.2,0.09,0.09,0.0,0.0
calcubetimer.csv,0.31,0.34,0.0,0.57,0.68,0.82,0.02,0.34,0.46,0.85,0.36,0.76,0.61,0.15,0.21,0.34
chaosrts.csv,0.57,0.34,0.19,0.51,0.26,0.26,0.65,0.53,0.71,0.46,0.39,0.49,0.53,0.7,0.32,0.8
dxengine.csv,0.26,0.19,0.24,0.63,0.36,0.71,0.44,0.61,0.16,0.0,0.0,0.28,0.66,0.42,0.56,0.17
freedom-erp.csv,0.24,0.1,0.0,0.05,0.39,0.06,0.0,0.14,0.02,0.54,0.73,0.31,0.15,0.0,0.24,0.47
joustsim.csv,0.54,0.0,0.75,0.63,0.28,0.26,0.44,0.5,0.4,0.55,0.15,0.91,0.73,0.51,0.5,0.22
jsidplay2.csv,0.26,0.12,0.26,0.33,0.82,0.21,0.17,0.41,0.51,0.52,0.48,0.31,0.14,0.29,0.06,0.47
madman.csv,0.48,0.19,0.35,0.44,0.5,0.6,0.52,0.52,0.26,0.44,0.09,0.63,0.94,0.62,0.54,0.62
mclient-mume.csv,0.58,0.0,0.87,0.56,0.14,0.53,0.5,0.06,0.56,0.15,0.02,0.5,0.64,0.62,0.39,0.49
primefaces.csv,0.2,0.47,0.0,0.0,0.62,0.63,0.72,0.0,0.0,0.61,0.69,0.27,0.0,0.0,0.73,0.73
reaper3d.csv,0.51,0.0,0.72,0.61,0.6,0.7,0.41,0.12,0.32,0.22,0.65,0.4,0.73,0.82,0.41,0.19
sblim.csv,0.13,0.07,0.53,0.64,0.23,0.77,0.02,0.21,0.56,0.15,0.54,0.41,0.55,0.15,0.14,0.33
sevenupdate.csv,0.0,0.8,0.7,0.3,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
springside.csv,0.57,0.0,0.74,0.65,0.47,0.48,0.78,0.43,0.43,0.6,0.55,0.74,0.77,0.56,0.51,0.59
swtfox.csv,0.61,0.61,0.27,0.34,0.43,0.0,0.21,0.65,0.27,0.0,0.31,0.0,0.48,0.52,0.0,0.5
tmva.csv,0.0,0.0,0.38,0.54,0.0,0.3,0.76,0.09,0.77,0.0,0.0,0.0,0.75,0.7,0.52,0.0
