,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.47,0.55,0.44,0.37,0.57,0.53,0.38,0.66,0.43,0.66,0.45,0.47,0.5
codepurge.csv,0.5,0.49,0.72,0.4,0.83,0.52,0.39,0.43,0.38,0.84,0.62,0.5,0.32
crisscross.csv,0.42,0.51,0.45,0.35,0.43,0.49,0.38,0.4,0.38,0.51,0.68,0.34,0.37
elvishrayrenderer.csv,0.75,0.62,0.55,0.38,0.91,0.49,0.38,0.94,0.33,0.5,0.73,0.47,0.34
gwanted.csv,0.5,0.48,0.54,0.89,0.58,0.46,0.8,0.43,0.92,0.71,0.56,0.49,0.47
jitterbit.csv,0.0,0.7,0.54,0.5,0.91,0.89,0.43,0.62,0.42,0.59,0.74,0.51,0.47
ldview.csv,0.59,0.95,0.62,0.4,0.55,0.72,0.42,0.57,0.53,0.64,0.94,0.79,0.38
libopenmetaverse.csv,0.42,0.45,0.42,0.5,0.39,0.49,0.31,0.39,0.36,0.4,0.44,0.34,0.35
mb-unit.csv,0.86,0.66,0.46,0.43,0.76,0.75,0.41,0.61,0.4,0.51,0.96,0.52,0.38
mvdsv.csv,0.61,0.0,0.98,0.8,0.93,0.62,0.88,0.98,0.75,0.97,0.75,0.83,0.67
nova.csv,0.55,0.59,0.55,0.49,0.43,0.62,0.53,0.42,0.45,0.47,0.5,0.42,0.49
olex2.csv,0.38,0.61,0.52,0.86,0.74,0.0,0.62,0.99,0.62,0.7,0.79,0.45,0.89
tolven.csv,0.62,0.85,0.62,0.48,0.86,0.77,0.51,0.99,0.46,0.7,0.8,0.47,0.4
