,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.19,0.41,0.17,0.24,0.6,0.48,0.0,0.28,0.52,0.44,0.31,0.36,0.6
codepurge.csv,0.0,0.71,0.24,0.49,0.09,0.46,0.87,0.53,0.62,0.29,0.69,0.46,0.69
crisscross.csv,0.0,0.68,0.36,0.0,0.32,0.48,0.0,0.35,0.54,0.45,0.57,0.05,0.0
elvishrayrenderer.csv,0.0,0.49,0.36,0.31,0.16,0.55,0.0,0.29,0.65,0.56,0.52,0.54,0.81
gwanted.csv,0.1,0.59,0.49,0.2,0.28,0.43,0.71,0.64,0.28,0.7,0.38,0.52,0.42
jitterbit.csv,0.0,0.46,0.56,0.52,0.05,0.34,0.58,0.71,0.64,0.56,0.37,0.55,0.63
ldview.csv,0.73,0.38,0.45,0.46,0.49,0.76,0.65,0.6,0.56,0.42,0.15,0.37,0.67
libopenmetaverse.csv,0.0,0.05,0.09,0.6,0.0,0.54,0.71,0.24,0.24,0.0,0.47,0.17,0.54
mb-unit.csv,0.27,0.5,0.66,0.54,0.23,0.17,0.61,0.43,0.65,0.49,0.25,0.63,0.6
mvdsv.csv,0.35,0.0,0.1,0.2,0.19,0.34,0.99,0.18,0.04,0.13,0.0,0.1,0.11
nova.csv,0.84,0.63,0.52,0.44,0.56,0.49,0.0,0.51,0.54,0.59,0.47,0.54,0.48
olex2.csv,0.6,0.61,0.6,0.17,0.33,0.0,0.69,0.2,0.59,0.57,0.2,0.75,0.28
tolven.csv,0.58,0.38,0.36,0.43,0.09,0.38,0.63,0.26,0.74,0.44,0.37,0.68,0.55
