,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.95,0.84,0.96,0.94,0.53,0.84,1.0,0.5,0.79,0.62,0.91,0.85,0.67
codepurge.csv,0.05,0.53,0.07,0.77,0.07,0.32,0.43,0.48,0.39,0.13,0.2,0.39,0.39
crisscross.csv,1.0,0.27,0.89,1.0,0.91,0.84,1.0,0.9,0.78,0.75,0.3,0.99,1.0
elvishrayrenderer.csv,0.09,0.48,0.18,0.91,0.11,0.68,1.0,0.15,0.7,0.35,0.41,0.62,0.33
gwanted.csv,0.02,0.34,0.76,0.09,0.33,0.14,0.1,0.58,0.04,0.19,0.17,0.2,0.22
jitterbit.csv,0.0,0.35,0.57,0.4,0.2,0.08,0.63,0.22,0.63,0.35,0.29,0.45,0.44
ldview.csv,0.39,0.13,0.43,0.83,0.49,0.24,0.73,0.33,0.37,0.37,0.1,0.14,0.61
libopenmetaverse.csv,1.0,0.99,0.98,0.31,1.0,0.78,0.67,0.94,0.94,1.0,0.84,0.96,0.72
mb-unit.csv,0.09,0.37,0.45,0.63,0.27,0.03,0.76,0.35,0.67,0.35,0.13,0.34,0.72
mvdsv.csv,0.32,0.0,0.07,0.11,0.16,0.05,0.03,0.06,0.03,0.23,0.03,0.01,0.0
nova.csv,0.2,0.63,0.62,0.54,0.71,0.68,0.57,0.78,0.56,0.47,0.76,0.73,0.78
olex2.csv,0.75,0.43,0.4,0.06,0.22,0.03,0.19,0.17,0.3,0.3,0.23,0.27,0.06
tolven.csv,0.2,0.13,0.18,0.51,0.09,0.16,0.49,0.08,0.21,0.16,0.25,0.46,0.56
