,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.02,0.0,0.04,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.04,0.16,0.0,1.0
columba.csv,0.69,0.72,0.69,0.54,0.59,0.58,0.76,0.46,0.64,0.72,0.68,0.53,0.76,0.75
encog-cs.csv,0.3,0.67,0.5,0.64,0.31,0.55,0.17,0.41,0.41,0.28,0.36,0.48,0.23,0.24
fido.csv,0.1,0.0,0.0,0.0,0.07,0.0,0.97,0.01,0.0,0.28,0.16,0.0,0.71,0.0
flexpay.csv,0.33,0.45,0.43,0.47,0.49,0.28,0.52,0.36,0.43,0.28,0.61,0.53,0.56,0.81
fluent-nhibernate.csv,0.77,0.37,0.42,0.48,0.54,0.44,0.29,0.18,0.24,0.92,0.45,0.31,0.41,0.0
geochat.csv,0.12,0.0,0.34,0.21,0.39,0.43,0.0,0.45,0.45,0.4,0.54,0.6,0.2,0.44
gpsmid.csv,0.83,0.34,0.26,0.51,0.54,0.43,0.48,0.56,0.6,0.81,0.63,0.05,0.73,0.68
k3d.csv,0.1,0.15,0.8,0.2,0.18,0.32,0.0,0.15,0.23,0.39,0.47,0.2,0.37,0.0
m-a-d-n-e-s-s.csv,0.26,0.0,0.2,0.15,0.25,0.73,0.0,0.27,0.24,0.56,0.36,0.09,0.15,0.0
mob-sen-plat.csv,0.56,0.8,0.58,0.5,0.59,0.75,0.45,0.6,0.55,0.72,0.48,0.56,0.49,0.69
ninject.csv,0.31,0.11,0.43,0.2,0.32,0.56,0.29,0.6,0.97,0.6,0.25,0.46,0.46,0.23
uface.csv,0.73,0.57,0.52,0.7,0.4,0.21,0.57,0.43,0.71,0.62,0.66,0.05,0.93,0.17
v8.csv,0.52,0.11,0.52,0.44,0.5,0.55,0.49,0.84,0.38,0.72,0.55,0.41,0.53,0.0
