,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.69,1.0,0.33,0.42
n2cms.csv,1.0,0.25,0.2,0.27
nassp.csv,0.58,0.38,0.6,1.0
nug.csv,0.45,0.27,0.87,0.36
