,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.34,0.96,0.34,0.42
n2cms.csv,0.99,0.32,0.24,0.3
nassp.csv,0.23,0.27,0.27,0.96
nug.csv,0.52,0.28,0.81,0.47
