,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.29,0.94,0.31,0.1,0.4,0.31,0.43,0.65,0.28,0.13,0.32,0.15
freedom-erp.csv,0.06,0.0,0.28,0.0,0.02,0.0,0.98,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.64,0.63,0.31,0.46,0.52,0.4,0.01,0.52,0.28,0.11,0.09,0.99
jmoney.csv,0.91,0.18,0.31,0.15,0.44,0.26,0.41,0.29,0.07,0.16,0.28,0.16
jsidplay2.csv,0.67,0.22,1.0,0.42,0.47,0.35,0.53,0.63,0.53,0.56,0.33,0.49
reaper3d.csv,0.28,0.05,0.38,0.39,0.1,0.0,0.33,0.9,0.31,0.17,0.04,0.52
servicestack.csv,0.18,0.41,0.39,0.32,0.49,0.48,0.37,0.52,0.95,0.33,0.42,0.2
springside.csv,0.65,0.71,0.57,0.98,0.57,0.48,0.73,0.54,0.52,0.33,0.58,0.58
swtfox.csv,0.06,0.47,0.23,0.35,1.0,0.62,0.04,0.14,0.53,0.13,0.35,0.57
synecdoche.csv,0.39,0.41,0.63,0.21,0.34,0.39,0.48,0.58,0.0,0.07,0.94,0.27
tmva.csv,0.53,0.52,0.6,0.72,0.42,0.99,0.0,0.5,0.6,0.38,0.62,0.43
wsmt.csv,0.06,0.23,0.02,0.0,0.06,0.02,0.04,0.0,0.07,0.95,0.0,0.09
