,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.77,0.08,0.76,0.92,0.67,0.76,0.66,0.41,0.82,0.95,0.8,0.88
freedom-erp.csv,0.95,1.0,0.76,1.0,0.98,1.0,0.06,1.0,1.0,1.0,1.0,1.0
javaprofiler.csv,0.43,0.68,0.81,0.84,0.73,0.9,1.09,0.78,0.8,0.94,1.0,0.01
jmoney.csv,0.1,0.88,0.74,0.88,0.88,0.79,0.66,0.77,0.94,0.98,0.76,0.87
jsidplay2.csv,0.59,0.89,0.0,0.71,0.8,0.7,0.77,0.51,0.8,0.63,0.73,0.83
reaper3d.csv,0.91,0.96,0.82,0.94,0.93,1.0,0.83,0.12,0.92,0.86,0.97,0.59
servicestack.csv,0.86,0.69,0.67,0.84,0.59,0.59,0.72,0.79,0.06,0.77,0.66,0.86
springside.csv,0.71,0.67,0.52,0.03,0.69,0.81,0.55,0.8,0.69,1.01,0.7,0.67
swtfox.csv,0.99,0.68,0.94,0.97,0.0,0.68,1.01,0.95,0.8,0.92,0.76,0.73
synecdoche.csv,0.68,0.69,0.43,0.82,0.78,0.67,0.83,0.73,1.0,1.0,0.07,0.82
tmva.csv,0.7,0.8,0.54,0.55,0.83,0.04,1.0,0.83,0.7,0.94,0.6,0.88
wsmt.csv,0.96,0.82,0.98,1.0,0.95,0.98,0.97,1.0,0.95,0.07,1.0,0.93
