,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.42,0.96,0.8,0.8,0.56,0.79,0.68,0.23,0.24,0.29,0.35,0.82
freedom-erp.csv,1.0,0.0,0.93,0.0,0.12,0.0,0.96,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.63,0.39,0.7,0.28,0.37,0.69,0.03,0.07,0.27,0.3,0.35,1.0
jmoney.csv,0.95,0.27,0.89,0.5,0.32,0.9,0.74,0.11,0.25,0.26,0.78,0.77
jsidplay2.csv,0.41,0.22,1.0,0.35,0.33,0.93,0.57,0.13,0.27,0.59,0.8,0.64
reaper3d.csv,0.19,1.0,0.68,0.24,0.75,0.0,0.48,1.0,0.16,0.62,0.2,0.77
servicestack.csv,0.43,0.42,0.91,0.25,0.56,0.88,0.63,0.07,1.0,0.53,0.55,0.59
springside.csv,0.4,0.44,0.86,0.96,0.4,0.69,0.69,0.08,0.28,0.38,0.42,0.7
swtfox.csv,0.08,0.38,0.55,0.21,1.0,0.76,0.12,0.03,0.27,0.36,0.39,0.68
synecdoche.csv,0.47,0.42,0.92,0.64,0.34,0.86,0.56,0.08,0.0,0.17,1.0,0.63
tmva.csv,0.33,0.33,0.83,0.44,0.3,0.99,0.58,0.07,0.29,0.41,0.48,0.59
wsmt.csv,0.14,0.71,1.0,0.0,1.0,0.6,0.75,0.0,0.14,0.97,0.0,0.71
