,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.48,0.41,0.0,0.98,0.62,1.0,0.0,0.0,0.79,0.29,0.06,0.0,0.54,0.14,0.0,0.0
codepurge.csv,0.9,0.81,0.79,0.52,0.96,0.56,1.0,0.79,0.11,0.74,0.31,0.78,0.08,0.71,0.64,0.5,0.12
fontforge.csv,0.88,0.9,0.93,0.92,1.0,0.82,1.0,0.75,0.83,1.0,0.64,0.83,0.95,1.0,1.0,0.94,0.96
glas.csv,0.95,0.71,0.62,0.4,0.82,0.53,1.0,0.83,1.0,0.79,0.47,0.78,0.68,0.5,1.0,1.0,0.75
gmerlin.csv,0.0,0.94,0.79,1.0,0.0,0.89,1.0,0.0,0.89,0.0,0.96,0.83,1.0,1.0,0.0,0.62,0.54
hatari.csv,0.63,0.74,0.76,0.8,0.86,0.58,1.0,0.88,0.94,0.92,0.56,1.0,0.68,0.17,0.86,0.34,0.38
jcl.csv,0.76,0.55,0.62,0.08,0.77,0.55,1.0,0.5,0.56,0.41,0.51,0.22,0.05,0.58,0.79,0.41,0.54
ltp.csv,0.29,0.71,0.9,0.8,0.76,0.76,0.0,0.42,0.61,0.59,0.69,0.67,0.57,0.92,0.93,0.34,0.88
mia.csv,0.37,0.13,0.41,0.68,0.03,0.24,1.0,0.62,0.44,0.9,0.4,0.61,0.03,0.0,0.21,0.25,0.25
net-snmp.csv,0.59,0.61,0.38,0.48,0.64,0.48,1.0,0.92,0.89,0.51,0.77,0.61,0.92,0.38,0.21,0.31,0.42
opde.csv,1.0,0.58,1.0,0.56,1.0,0.68,1.0,0.75,0.72,0.0,0.61,1.0,0.16,0.62,0.64,0.41,0.46
oppna-program-hsatools.csv,0.88,0.71,0.76,1.0,0.92,0.59,1.0,0.92,0.89,0.95,0.87,1.0,0.27,0.17,0.71,0.53,0.42
powerfolder-.csv,0.59,0.61,0.31,0.52,0.09,0.29,1.0,0.54,0.67,0.56,0.43,0.67,0.19,0.17,0.64,0.66,0.42
qlc.csv,0.0,0.87,0.0,0.56,0.71,0.44,1.0,0.0,0.83,0.26,0.21,0.83,0.32,0.21,0.57,0.0,0.21
quantlib.csv,1.0,0.0,0.03,0.0,1.0,0.03,0.0,1.0,0.0,1.0,0.0,0.06,0.0,0.0,1.0,0.97,0.62
tcl.csv,0.32,0.52,0.52,0.72,0.39,0.48,0.0,0.0,0.39,0.79,0.59,0.39,0.84,0.25,0.0,0.16,0.67
