,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.38,0.38,0.39,0.4,0.53
mediaportal.csv,0.56,0.9,0.73,0.95,0.95
poormans.csv,0.43,0.97,0.39,0.44,0.7
smartgwt.csv,0.49,0.56,0.89,0.59,0.95
sqlpower-library.csv,0.44,0.77,0.44,0.44,0.62
