,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.6,0.8,1.0,0.39,0.56
mediaportal.csv,0.58,0.41,0.39,0.9,0.25
poormans.csv,0.6,0.34,0.44,0.64,0.95
smartgwt.csv,0.59,0.97,0.15,0.59,0.3
sqlpower-library.csv,0.98,0.63,0.53,0.67,0.56
