,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.89,0.36,0.44,0.45,0.45,0.32,0.49,0.38,0.38,0.21,0.45,0.29,0.55,0.42,0.12,0.06,0.4,0.52,0.34
apolloplayer.csv,0.44,0.93,0.48,0.34,0.33,0.32,0.52,0.47,0.0,0.43,0.59,0.57,0.59,0.48,0.33,0.03,0.31,0.56,0.43
auber.csv,0.52,0.56,0.4,0.04,0.57,0.66,0.32,0.47,0.4,0.98,0.6,0.5,0.23,0.38,0.42,0.36,0.44,0.17,0.52
cortex-vfx.csv,0.51,0.2,0.54,0.34,0.32,0.17,0.26,0.34,0.4,0.37,0.23,0.39,0.05,0.54,0.29,0.13,0.87,0.55,0.39
growl-for-windows.csv,0.72,0.57,0.51,0.39,0.62,0.54,0.59,0.62,0.6,0.58,0.4,0.42,0.51,0.54,0.84,0.69,0.65,1.0,0.5
ifmo-game-1.csv,0.0,0.0,0.0,0.0,0.01,1.0,0.09,0.06,0.11,0.12,0.22,0.0,0.05,0.05,0.64,0.02,0.12,0.17,0.04
ildjit.csv,0.04,0.0,0.05,0.91,0.12,0.0,0.04,0.02,0.01,0.04,0.1,0.18,0.05,0.06,0.02,0.01,0.26,0.07,0.04
jfreereport.csv,0.37,0.44,0.63,0.66,0.89,0.62,0.53,0.42,0.38,0.29,0.48,0.32,0.51,0.36,0.45,0.05,0.19,0.59,0.35
keyczar.csv,0.46,0.37,0.39,0.75,0.28,0.17,0.41,0.37,0.37,0.35,0.52,0.18,0.99,0.42,0.54,0.07,0.58,0.35,0.53
moast.csv,0.1,0.2,0.05,0.35,0.44,0.0,0.51,0.35,0.07,0.19,0.31,0.27,0.0,0.0,0.27,0.99,0.07,0.1,0.38
opde.csv,0.72,0.52,0.86,0.63,0.6,0.54,0.57,0.55,0.48,0.48,0.59,0.0,0.44,0.67,0.73,0.26,0.58,0.49,0.25
openfrag.csv,0.59,0.55,0.52,0.27,0.35,0.62,0.52,0.93,0.71,0.7,0.41,0.68,0.1,0.64,0.72,0.72,0.41,0.66,0.66
passwordsafe.csv,0.51,0.48,0.59,0.31,0.61,0.66,0.52,0.45,0.45,0.49,0.66,0.78,0.51,0.96,0.55,0.68,0.5,0.71,0.47
ppcboot.csv,0.61,0.56,0.62,0.46,0.6,0.63,0.93,0.67,0.57,0.65,0.45,0.61,0.18,0.57,0.52,0.89,0.49,0.25,0.57
quark.csv,0.49,0.43,0.28,0.0,0.32,0.17,0.0,0.21,0.39,0.5,0.0,1.0,0.0,0.6,0.13,0.08,0.4,0.1,0.0
super-tux.csv,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.09,1.0,0.31,0.53,0.49,0.27,0.13,0.09,0.0,0.0,0.0,0.0
synergyspace.csv,0.06,0.2,0.05,0.17,0.19,0.17,0.26,0.11,0.04,0.18,0.88,0.0,0.1,0.11,0.02,0.04,0.17,0.1,0.51
wikipediardware.csv,0.33,0.51,0.46,0.47,0.24,0.62,0.54,0.47,0.58,0.74,0.51,0.3,0.69,0.67,0.48,0.47,0.71,0.35,0.99
xtreemfs.csv,0.64,0.49,0.43,0.09,0.67,0.46,0.13,0.48,0.65,0.75,0.35,0.42,0.45,0.51,0.99,0.87,0.62,0.26,0.5
