,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.13,0.77,0.68,0.76,0.72,0.88,0.78,0.94,0.86,0.84,0.88,0.94,0.64,0.9,0.92,1.19,0.67,0.81,0.89
apolloplayer.csv,0.87,0.08,0.63,0.91,0.73,0.88,0.82,0.78,1.12,0.64,0.7,0.77,0.51,0.79,0.77,1.32,0.76,0.76,0.87
auber.csv,0.65,0.66,0.71,0.99,0.64,0.57,0.73,0.67,0.92,0.03,0.6,0.59,0.82,0.68,0.74,0.7,0.68,0.9,0.55
cortex-vfx.csv,0.69,0.84,0.61,0.8,0.74,0.87,0.78,0.72,0.93,0.76,0.81,0.84,0.96,0.65,0.75,0.92,0.16,0.51,0.92
growl-for-windows.csv,0.45,0.73,0.72,0.91,0.71,0.7,0.69,0.68,0.48,0.59,0.77,0.88,0.62,0.74,0.36,0.69,0.58,0.0,0.71
ifmo-game-1.csv,1.0,1.0,1.0,1.0,0.99,0.0,0.93,0.95,0.91,0.91,0.83,1.0,0.96,0.96,0.42,0.98,0.9,0.89,1.0
ildjit.csv,0.97,1.0,0.96,0.11,0.92,1.0,0.97,0.98,0.99,0.97,0.92,0.87,0.98,0.95,0.99,0.99,0.83,0.95,1.0
jfreereport.csv,0.89,0.76,0.67,0.53,0.13,0.65,0.74,0.85,0.95,0.78,0.84,0.95,0.82,0.82,0.75,1.08,0.87,0.7,0.97
keyczar.csv,0.75,0.74,0.77,0.49,0.81,0.92,0.84,0.83,0.68,0.87,0.65,0.91,0.07,0.74,0.59,0.94,0.69,0.77,0.58
moast.csv,0.92,0.85,0.96,0.78,0.71,1.03,0.56,0.7,0.94,0.84,0.75,0.79,1.0,1.0,0.77,0.03,0.94,0.92,0.69
opde.csv,0.63,0.64,0.16,0.67,0.58,0.78,0.78,0.79,0.84,0.73,0.67,1.0,0.64,0.6,0.52,0.94,0.58,0.84,0.97
openfrag.csv,0.75,0.79,0.8,0.93,0.9,0.65,0.8,0.08,0.37,0.55,0.74,0.68,0.92,0.69,0.59,0.66,0.88,0.61,0.62
passwordsafe.csv,0.67,0.67,0.51,0.88,0.59,0.55,0.58,0.66,0.8,0.59,0.61,0.45,0.62,0.05,0.59,0.69,0.61,0.43,0.6
ppcboot.csv,0.67,0.7,0.57,0.83,0.7,0.63,0.09,0.48,0.71,0.53,0.68,0.71,0.86,0.59,0.65,0.35,0.6,0.87,0.57
quark.csv,0.61,0.64,0.79,1.0,0.73,0.87,1.0,0.83,0.68,0.59,1.0,0.0,1.0,0.47,0.89,1.01,0.67,0.92,1.0
super-tux.csv,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98,0.0,0.94,0.7,0.64,0.93,0.97,0.98,1.0,1.0,1.05,1.0
synergyspace.csv,0.95,0.84,0.96,0.91,0.86,0.87,0.81,0.92,0.97,0.86,0.15,1.0,0.92,0.91,0.98,0.97,0.86,1.0,0.57
wikipediardware.csv,0.94,0.82,0.86,0.84,0.94,0.73,0.79,0.84,0.69,0.57,0.82,0.92,0.67,0.62,0.84,0.85,0.63,0.99,0.07
xtreemfs.csv,0.48,0.62,0.73,0.95,0.6,0.69,0.89,0.6,0.43,0.43,0.74,0.66,0.67,0.56,0.07,0.41,0.65,0.79,0.6
