,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.74,0.65,0.95,0.89,0.5
google-gears.csv,0.74,0.7,1.0,1.0,0.99
httpcontentparser.csv,0.0,0.8,0.16,0.26,0.18
qse.csv,0.65,0.65,0.47,0.91,0.28
xmemcached.csv,0.83,0.5,0.26,1.0,0.55
