,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.44,0.46,0.05,0.24,0.6
google-gears.csv,0.56,0.73,0.94,0.89,0.01
httpcontentparser.csv,1.01,0.2,0.9,0.82,0.86
qse.csv,0.45,0.46,0.55,0.09,0.72
xmemcached.csv,0.17,0.63,0.86,0.94,0.79
