,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.82,0.29,0.32,0.08,0.06,0.31,0.59,1.0,0.25
jicarilla.csv,0.0,0.0,0.97,0.0,0.0,0.0,0.75,0.71,0.24
optalgtoolkit.csv,0.57,0.22,0.25,0.06,0.06,1.0,0.62,0.77,0.2
oscarmcmaster.csv,0.46,0.2,0.17,0.0,0.07,0.33,1.0,0.71,1.0
ossim.csv,0.0,0.0,0.0,0.93,0.0,0.0,1.0,0.0,1.0
projectts.csv,0.6,0.26,0.51,0.08,0.06,0.27,1.0,0.65,0.21
sabbu.csv,1.0,0.26,0.29,0.07,0.05,0.5,0.59,0.67,0.2
vxl.csv,0.38,1.0,0.55,0.03,0.0,0.33,0.59,0.69,0.13
zact.csv,1.0,0.0,1.0,0.0,1.0,0.41,0.0,0.75,0.19
