,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.47,0.45,0.0,0.5,0.1,0.96,0.59,0.25,0.41,0.29,0.75,0.46,0.6,0.41,0.69,0.6,0.24,0.35,0.56
elvishrayrenderer.csv,0.54,0.74,0.88,0.53,0.31,0.37,0.81,0.6,0.52,0.25,0.87,0.6,0.54,0.49,0.77,0.65,0.34,0.43,0.97
graphmak.csv,0.23,0.15,0.24,0.98,0.22,0.38,0.15,0.45,0.5,0.31,0.41,0.19,0.31,0.2,0.4,0.38,0.18,0.31,0.29
jmol.csv,0.47,0.82,0.88,0.35,0.28,0.41,0.84,0.54,0.5,0.18,1.0,0.42,0.45,0.19,0.45,0.27,0.41,0.41,0.62
mesa3d.csv,0.24,0.47,0.54,0.12,0.32,0.08,0.41,0.27,0.36,0.1,0.6,0.35,0.44,0.31,0.3,0.3,0.87,0.26,0.48
minig.csv,0.51,0.83,0.85,0.49,0.37,0.31,0.73,0.62,0.53,0.17,0.8,0.94,0.57,0.5,0.72,0.63,0.33,0.39,0.78
moving-pictures.csv,0.52,0.79,0.65,0.49,0.33,0.3,0.51,0.67,0.43,0.18,0.56,0.48,0.95,0.57,0.56,0.65,0.26,0.35,0.71
ngl.csv,0.57,0.73,0.61,0.56,0.24,0.34,0.46,0.68,0.46,0.28,0.75,0.52,0.59,0.45,0.68,0.99,0.37,0.37,0.7
nunit.csv,0.08,0.11,0.21,0.34,0.16,0.29,0.05,0.49,0.3,0.05,0.35,0.4,0.35,0.0,0.5,0.06,0.33,0.95,0.1
octave.csv,0.52,0.36,0.78,0.54,0.95,0.34,0.51,0.59,0.24,0.2,0.83,0.62,0.53,0.29,0.54,0.53,0.27,0.38,0.54
opengs.csv,0.35,0.73,0.0,0.43,0.07,0.52,0.38,0.66,0.99,0.39,0.58,0.38,0.48,0.27,0.6,0.41,0.31,0.42,0.3
owlib.csv,0.99,0.78,0.66,0.44,0.28,0.31,0.51,0.63,0.57,0.19,0.74,0.59,0.68,0.52,0.68,0.63,0.38,0.36,0.67
prelude.csv,0.49,0.85,0.99,0.35,0.3,0.38,0.77,0.48,0.56,0.15,0.76,0.54,0.58,0.49,0.5,0.53,0.3,0.37,0.6
tokratan.csv,0.46,0.7,0.28,0.34,0.21,0.42,0.14,0.64,0.12,0.93,0.27,0.19,0.11,0.17,0.3,0.31,0.4,0.17,0.57
xfce.csv,0.56,0.61,0.64,0.56,0.23,0.5,0.75,0.63,0.57,0.28,0.75,0.55,0.56,0.5,0.97,0.63,0.31,0.33,0.59
xharbour.csv,0.56,0.99,0.57,0.49,0.24,0.44,0.75,0.65,0.67,0.24,0.69,0.51,0.66,0.5,0.76,0.68,0.36,0.35,0.71
zabbix.csv,0.59,0.87,0.84,0.51,0.33,0.37,0.85,0.67,0.58,0.22,0.84,0.57,0.66,0.98,0.79,0.69,0.34,0.35,0.79
zengine.csv,0.56,0.88,0.88,0.54,0.38,0.35,1.0,0.69,0.62,0.26,0.88,0.54,0.65,0.55,0.82,0.69,0.39,0.34,0.78
zildo.csv,0.43,0.64,0.35,0.57,0.06,0.52,0.27,0.97,0.27,0.28,0.54,0.51,0.29,0.51,0.52,0.47,0.3,0.37,0.58
