,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.64,0.51,0.56,0.64,0.28,0.94,0.48,0.3,0.38,0.67,0.37,0.47,0.48
grafx2.csv,0.38,0.56,0.59,0.29,0.4,0.45,0.52,0.4,0.98,0.76,0.63,0.65,0.5
jahshakafx.csv,1.0,0.42,0.44,0.2,0.31,0.39,0.15,0.23,0.3,0.04,0.27,0.0,0.41
kftpgrabber.csv,0.3,0.58,0.47,0.29,0.15,0.44,0.11,0.75,0.67,0.5,0.94,0.53,0.36
kindb.csv,0.74,0.76,0.72,0.73,0.47,0.76,0.6,0.67,0.74,0.95,0.71,0.53,0.56
maya-work-in-progress.csv,0.67,0.7,0.66,0.7,0.59,0.6,0.95,0.64,0.72,0.78,0.66,0.79,0.62
netatalk.csv,0.51,0.65,0.66,0.43,0.26,0.51,0.26,0.46,0.54,0.64,0.52,1.0,0.47
nullc.csv,0.62,0.13,0.17,0.09,1.0,0.49,0.32,0.3,0.57,0.61,0.0,0.2,0.27
plee-the-bear.csv,0.26,0.15,0.9,0.69,0.42,0.27,0.09,0.35,0.37,0.39,0.27,0.3,0.4
reaper-ecad.csv,0.64,0.51,0.67,1.0,0.44,0.65,0.62,0.13,0.15,0.62,0.58,0.49,0.63
unimrcp.csv,0.41,0.47,0.5,0.33,0.24,0.36,0.11,0.97,0.35,0.34,0.52,0.41,0.38
unladen-swallow.csv,0.25,0.66,0.37,0.24,0.33,0.34,0.34,0.43,0.51,0.45,0.26,0.36,0.4
xmoto.csv,0.79,0.71,0.65,0.62,0.47,0.67,0.48,0.74,0.7,0.73,0.67,0.58,0.98
