,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.26,0.71,0.56,0.0,0.37,0.0
jlinalg.csv,0.77,0.41,0.48,0.44,0.8,0.25
knowledge.csv,0.79,0.6,0.5,0.87,0.62,0.41
massiv.csv,0.15,0.11,0.0,0.0,0.99,0.02
playerstage.csv,0.45,0.39,0.74,0.72,0.53,0.57
ultimairis.csv,0.4,0.58,0.67,0.54,0.54,0.66
