,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.97,0.96,0.89,0.46,1.0,0.96,0.77,0.83,0.79,0.7,0.82,0.53,0.3,0.78
boost-sandbox.csv,0.63,0.7,0.85,0.86,0.85,0.54,0.86,0.77,0.91,0.8,0.6,0.74,1.15,1.06
customwars.csv,0.6,0.67,0.56,0.6,0.76,0.85,1.0,0.62,0.64,0.7,0.63,0.74,0.24,0.75
dvd-create.csv,0.55,0.6,0.97,0.67,0.24,0.89,1.0,0.86,0.65,0.89,0.6,0.5,0.65,0.27
frogatto.csv,0.95,0.68,0.38,0.78,0.62,0.85,0.98,0.75,0.81,0.51,0.86,0.74,0.54,0.35
glelite.csv,0.97,0.93,0.88,0.94,0.95,0.79,0.98,0.63,0.98,0.83,0.86,0.97,0.79,0.03
go.csv,0.64,0.3,0.94,0.75,0.64,0.82,0.75,0.95,0.72,0.49,0.66,0.96,0.75,0.55
irplus.csv,0.53,0.62,0.42,0.62,0.62,0.8,1.0,0.68,0.65,0.56,0.48,0.59,0.34,0.71
lsb.csv,0.7,0.85,0.26,0.65,0.85,0.77,1.0,0.89,0.58,0.59,0.83,0.66,0.64,0.57
moving-pictures.csv,0.68,0.79,0.56,0.84,0.88,0.74,1.0,0.75,0.5,0.53,0.69,0.76,0.74,0.75
mpgravity.csv,0.81,0.47,0.93,0.68,0.69,0.87,0.41,1.0,0.77,0.65,0.89,0.97,0.56,1.03
plearn.csv,0.51,0.8,0.99,0.94,0.94,0.97,0.66,0.73,0.83,0.78,0.62,0.82,0.71,0.79
rebecca-aiml.csv,0.61,0.48,0.53,0.65,0.67,0.85,1.0,0.8,0.69,0.48,0.67,0.19,0.5,0.55
wxcode.csv,0.68,0.67,0.89,0.67,0.89,0.87,0.38,0.72,0.77,0.92,0.73,0.9,0.18,0.69
