,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.55,0.56,0.58,0.33,0.0,0.07,0.44,0.49,0.31,0.92,0.48
crisscross.csv,0.09,0.0,0.75,0.38,0.0,0.54,0.53,0.1,0.0,0.0,0.24
cubefs.csv,0.28,0.0,0.0,0.58,0.13,0.61,0.54,0.7,0.64,0.0,0.24
gisgraphy.csv,0.2,0.0,0.0,0.13,0.38,0.02,0.13,0.43,0.21,0.11,0.7
iaml.csv,0.13,0.1,0.53,0.13,0.68,0.37,0.66,0.12,0.46,0.17,0.63
ivataopenportal.csv,0.61,0.0,0.49,0.44,0.36,0.74,0.44,0.0,0.5,0.0,0.39
mb-unit.csv,0.24,0.0,0.52,0.65,0.0,0.42,0.48,0.26,0.63,0.52,0.32
mvdsv.csv,0.04,0.27,0.0,0.07,0.99,0.01,0.09,0.07,0.22,0.0,0.32
nova.csv,0.6,0.83,0.59,0.55,0.0,0.48,0.58,0.32,0.36,0.43,0.39
openwbem.csv,0.56,0.58,0.55,0.58,0.62,0.52,0.41,0.58,0.53,0.54,0.64
xcmetadataservicestoolkit.csv,0.42,0.18,0.26,0.49,0.24,0.34,0.58,0.23,0.76,0.22,0.39
