,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.18,0.27,0.12,0.0,0.73,0.0,0.5,0.23,0.15,0.74
ibatisdb.csv,0.16,0.47,0.49,0.84,0.18,0.39,0.68,0.56,0.51,0.19
jmol.csv,0.54,1.0,0.96,0.48,1.0,0.39,0.54,1.0,0.89,0.96
liferea.csv,0.55,0.43,0.49,0.27,0.34,0.52,0.21,0.34,0.26,0.14
log4net.csv,0.02,0.0,0.43,0.52,0.11,0.17,0.25,0.26,0.23,0.21
pclasses.csv,0.2,0.08,0.03,0.02,0.32,0.22,0.29,0.01,0.36,0.45
psrchive.csv,0.27,0.18,0.24,0.7,0.2,0.13,0.18,0.86,0.3,0.3
re2c.csv,0.14,0.02,0.51,0.34,0.44,0.17,0.89,0.29,0.5,0.73
tycho.csv,0.12,0.1,0.19,0.23,0.25,0.26,0.21,0.12,0.14,0.77
xfce.csv,0.61,0.86,0.61,0.36,0.65,0.61,0.46,0.39,0.73,0.57
