,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.23,0.26,0.4,0.0,0.02,1.0,0.63,0.81,0.5,0.27
ibatisdb.csv,0.31,0.0,0.12,0.2,0.04,0.87,0.46,0.61,0.17,0.6
jmol.csv,0.21,0.11,0.14,0.25,0.02,0.89,0.61,0.69,0.2,0.26
liferea.csv,0.21,0.04,0.2,0.45,0.02,0.86,0.33,0.79,0.13,0.29
log4net.csv,0.67,1.0,0.16,0.26,0.17,0.85,0.67,0.79,0.19,0.19
pclasses.csv,0.45,0.0,0.5,0.5,0.05,0.77,0.43,0.5,0.19,0.15
psrchive.csv,0.21,0.31,0.4,0.22,0.07,0.8,0.71,0.67,0.22,0.16
re2c.csv,0.2,0.86,0.16,0.21,0.03,0.79,0.58,0.73,0.11,0.27
tycho.csv,0.22,0.44,0.26,0.29,0.03,0.82,0.82,0.82,0.3,0.13
xfce.csv,0.23,0.06,0.19,0.33,0.02,0.84,0.65,0.81,0.2,0.2
