,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.27,0.83,0.43,0.0,0.67,0.09,0.69,0.44,0.67,0.81
ibatisdb.csv,0.36,0.0,0.36,0.69,0.33,0.6,0.46,0.38,0.47,0.83
jmol.csv,0.73,1.0,0.86,0.54,1.0,0.74,0.66,0.99,1.0,1.0
liferea.csv,0.73,0.17,0.64,0.77,0.33,0.74,0.09,0.55,0.17,0.17
log4net.csv,0.18,0.17,0.43,0.62,1.0,0.22,0.4,0.44,0.23,0.14
pclasses.csv,0.82,0.0,0.14,0.08,0.67,0.17,0.17,0.01,0.37,0.22
psrchive.csv,0.36,0.67,0.86,0.69,0.67,0.12,0.34,0.76,0.37,0.17
re2c.csv,0.18,1.0,0.5,0.31,0.67,0.15,1.0,0.34,0.27,0.78
tycho.csv,0.18,0.67,0.36,0.31,0.33,0.27,0.77,0.23,0.27,0.33
xfce.csv,0.91,0.5,0.79,0.62,0.67,0.71,0.69,0.72,0.8,0.42
