,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.69,0.68,0.93,0.0,0.61,0.89,0.58,0.51,0.75,0.54
ibatisdb.csv,0.92,0.46,0.57,0.41,0.84,0.5,0.63,0.8,0.64,0.6
jmol.csv,0.53,0.42,0.37,0.5,0.46,0.4,0.53,0.47,0.44,0.42
liferea.csv,0.54,0.48,0.48,0.5,0.47,0.4,0.89,0.59,0.64,0.86
log4net.csv,0.67,0.0,0.58,0.39,0.94,0.85,0.43,0.54,0.86,0.7
pclasses.csv,0.65,0.75,0.75,0.5,0.82,0.95,0.86,0.5,0.66,0.76
psrchive.csv,0.68,0.85,0.47,0.38,0.64,0.93,0.59,0.48,0.67,0.71
re2c.csv,0.9,0.86,0.56,0.58,0.88,0.95,0.42,0.77,0.86,0.5
tycho.csv,0.89,0.89,0.89,0.64,0.82,0.73,0.55,0.8,0.96,0.58
xfce.csv,0.41,0.38,0.46,0.46,0.39,0.41,0.46,0.42,0.45,0.53
