,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.31,0.81,0.48,0.0,0.52,0.11,0.64,0.48,0.7,0.57
ibatisdb.csv,0.41,0.0,0.38,0.42,0.37,0.6,0.42,0.39,0.47,0.83
jmol.csv,0.65,0.0,0.17,0.54,0.0,0.71,0.61,0.0,0.38,0.17
liferea.csv,0.65,0.2,0.61,0.76,0.37,0.67,0.11,0.57,0.2,0.2
log4net.csv,0.22,0.2,0.45,0.59,0.98,0.26,0.44,0.48,0.27,0.17
pclasses.csv,0.82,0.0,0.17,0.1,0.67,0.2,0.2,0.01,0.4,0.25
psrchive.csv,0.4,0.7,0.84,0.55,0.69,0.14,0.39,0.4,0.41,0.2
re2c.csv,0.21,1.0,0.5,0.35,0.64,0.18,0.38,0.38,0.3,0.57
tycho.csv,0.21,0.71,0.4,0.35,0.37,0.31,0.77,0.27,0.31,0.3
xfce.csv,0.72,0.33,0.66,0.62,0.57,0.61,0.65,0.69,0.57,0.42
