,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.47,0.07,0.0,0.48,0.11,0.88,0.06,0.19,0.41,0.45,0.57,0.39,0.53,0.33,0.36,0.38,0.22,0.44,0.42
elvishrayrenderer.csv,0.52,0.57,0.0,0.55,0.48,0.61,0.6,0.54,0.52,0.54,0.42,0.6,0.0,0.33,0.67,0.6,0.57,0.63,0.95
graphmak.csv,0.07,0.01,0.0,1.0,0.11,0.18,0.04,0.21,0.18,0.31,0.17,0.02,0.21,0.19,0.26,0.2,0.22,0.06,0.11
jmol.csv,0.56,0.67,0.0,0.62,0.47,0.68,0.76,0.6,0.42,0.63,0.99,0.65,0.56,0.47,0.56,0.56,0.57,0.68,0.66
mesa3d.csv,0.22,0.13,0.49,0.35,0.36,0.48,0.38,0.38,0.53,0.42,0.52,0.5,0.33,0.29,0.24,0.23,0.83,0.41,0.3
minig.csv,0.54,0.48,0.38,0.68,0.48,0.58,0.28,0.71,0.66,0.56,0.58,0.97,0.46,0.49,0.6,0.62,0.46,0.59,0.53
moving-pictures.csv,0.54,0.0,0.12,0.57,0.63,0.52,0.56,0.4,0.58,0.53,0.45,0.2,0.97,0.5,0.27,0.65,0.3,0.5,0.51
ngl.csv,0.46,0.52,0.38,0.71,0.52,0.45,0.32,0.69,0.35,0.6,0.54,0.54,0.47,0.38,0.63,0.98,0.63,0.6,0.66
nunit.csv,0.18,0.24,0.41,0.52,0.17,0.52,0.16,0.6,0.3,0.5,0.42,0.42,0.4,0.22,0.41,0.12,0.5,0.92,0.04
octave.csv,0.61,0.28,0.66,0.58,0.93,0.46,0.34,0.5,0.0,0.37,0.52,0.53,0.33,0.3,0.34,0.39,0.36,0.57,0.47
opengs.csv,0.16,0.12,0.0,0.52,0.53,0.43,0.1,0.34,0.98,0.57,0.33,0.3,0.46,0.2,0.52,0.06,0.39,0.54,0.25
owlib.csv,0.98,0.67,0.55,0.64,0.47,0.57,0.4,0.58,0.5,0.63,0.68,0.52,0.77,0.34,0.46,0.5,0.58,0.51,0.51
prelude.csv,0.38,0.0,1.0,0.41,0.0,0.57,0.59,0.21,0.33,0.57,0.17,0.42,0.42,0.13,0.52,0.47,0.57,0.54,0.38
tokratan.csv,0.49,0.59,0.74,0.1,0.75,0.5,0.16,0.56,0.07,0.72,0.34,0.3,0.21,0.27,0.56,0.47,0.47,0.12,0.54
xfce.csv,0.51,0.51,0.55,0.64,0.38,0.8,0.52,0.54,0.59,0.72,0.31,0.52,0.52,0.47,0.95,0.46,0.54,0.59,0.59
xharbour.csv,0.36,0.98,0.42,0.39,0.39,0.61,0.7,0.27,0.56,0.51,0.55,0.53,0.62,0.62,0.62,0.53,0.62,0.56,0.36
zabbix.csv,0.67,0.47,0.32,0.47,0.54,0.65,0.7,0.33,0.63,0.58,0.68,0.63,0.7,1.0,0.6,0.39,0.43,0.48,0.57
zengine.csv,0.09,0.38,0.77,0.17,0.75,0.66,1.0,0.33,0.44,0.52,0.17,0.35,0.35,0.13,0.63,0.55,0.6,0.42,0.37
zildo.csv,0.63,0.76,0.47,0.56,0.45,0.65,0.52,1.0,0.11,0.52,0.48,0.52,0.36,0.42,0.57,0.58,0.59,0.51,0.62
