,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.12,0.0,0.0,0.02,0.16,0.0,0.03,0.27,0.0,0.0,0.0,0.13
dvt.csv,0.32,0.21,0.23,0.02,0.3,0.23,0.24,0.14,0.17,0.32,0.52,0.37
flylinkdc.csv,0.01,0.3,0.31,0.32,0.19,0.33,0.39,0.32,0.17,0.32,0.32,0.39
fulguro.csv,0.16,0.04,0.54,0.43,0.14,0.2,0.36,0.11,0.0,0.0,0.08,0.0
fw4spl.csv,0.52,0.04,0.64,0.55,0.76,0.01,0.54,0.68,0.67,0.42,0.36,0.46
ipfire-wall.csv,0.09,0.29,0.51,0.2,0.16,0.29,0.27,0.0,0.17,0.37,0.36,0.24
jruby.csv,0.3,1.0,1.0,0.33,0.57,0.71,0.78,0.24,0.33,0.11,0.2,0.43
ldview.csv,0.61,0.31,0.64,0.75,0.0,0.53,0.27,0.46,0.5,0.32,0.76,0.62
nuttx.csv,0.59,0.97,0.03,0.39,0.27,0.68,0.36,0.51,0.67,0.84,0.44,0.51
oorexx.csv,0.53,0.17,0.18,0.33,0.41,0.36,0.41,0.46,0.83,0.47,0.04,0.49
uclmda.csv,0.25,0.07,0.15,0.07,0.32,0.1,0.03,0.43,0.0,0.05,0.04,0.13
vdsf.csv,0.84,0.03,0.41,0.8,0.78,0.18,0.95,0.95,0.83,0.84,0.88,1.0
