,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.85,1.0,1.0,0.98,0.87,1.0,0.06,0.82,0.85,0.98,0.97,0.92
dvt.csv,0.87,0.84,0.88,0.03,0.86,0.88,0.84,0.84,0.56,0.72,0.8,0.98
flylinkdc.csv,0.03,0.6,0.83,0.74,0.74,0.61,0.9,0.51,0.76,0.72,0.71,0.6
fulguro.csv,0.8,0.84,0.74,0.94,0.82,0.9,0.8,0.62,0.93,0.94,0.86,0.09
fw4spl.csv,0.96,0.86,0.77,0.75,0.85,0.08,0.61,0.99,0.69,0.87,0.83,0.78
ipfire-wall.csv,0.79,0.53,0.86,0.7,0.97,0.73,0.81,0.06,0.9,0.85,0.83,0.51
jruby.csv,0.79,1.0,1.0,0.48,0.88,0.77,0.87,0.66,0.34,0.11,0.88,0.63
ldview.csv,0.7,0.66,0.84,0.89,0.05,0.69,0.9,0.49,0.66,0.69,0.83,0.72
nuttx.csv,0.6,0.99,0.03,0.56,0.55,0.71,0.97,0.58,1.0,0.85,0.48,0.74
oorexx.csv,0.68,0.78,0.84,0.74,0.52,0.53,0.91,0.72,1.21,0.82,0.07,0.61
uclmda.csv,0.7,0.87,0.69,1.0,0.54,0.86,0.72,0.89,0.0,0.97,1.0,0.92
vdsf.csv,0.84,0.13,0.83,0.81,0.8,0.83,0.95,0.95,0.85,0.86,0.89,1.0
