,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.19,0.0,0.0,0.02,0.17,0.0,0.95,0.26,0.18,0.02,0.04,0.11
dvt.csv,0.22,0.22,0.18,0.98,0.22,0.18,0.22,0.2,0.51,0.4,0.41,0.11
flylinkdc.csv,0.97,0.5,0.27,0.37,0.33,0.51,0.22,0.62,0.3,0.39,0.4,0.56
fulguro.csv,0.26,0.19,0.48,0.2,0.23,0.14,0.33,0.44,0.09,0.07,0.17,0.93
fw4spl.csv,0.22,0.18,0.52,0.49,0.47,0.93,0.64,0.29,0.64,0.27,0.28,0.39
ipfire-wall.csv,0.26,0.58,0.33,0.37,0.06,0.37,0.28,0.95,0.14,0.26,0.28,0.58
jruby.csv,0.31,0.0,0.0,0.65,0.35,0.54,0.45,0.43,0.86,0.98,0.17,0.55
ldview.csv,0.57,0.46,0.43,0.43,0.96,0.54,0.17,0.75,0.55,0.43,0.49,0.56
nuttx.csv,0.71,0.13,0.99,0.6,0.55,0.61,0.12,0.66,0.27,0.46,0.74,0.46
oorexx.csv,0.55,0.28,0.21,0.37,0.65,0.61,0.22,0.46,0.14,0.36,0.94,0.61
uclmda.csv,0.39,0.17,0.38,0.0,0.59,0.18,0.34,0.25,1.0,0.04,0.0,0.11
vdsf.csv,0.48,0.89,0.31,0.52,0.54,0.22,0.21,0.2,0.46,0.45,0.39,0.0
