,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.94,0.0,0.0,0.67,0.89,0.0,0.95,0.86,0.96,0.67,0.0,0.91
dvt.csv,0.87,0.88,0.97,0.67,0.87,0.99,0.89,0.88,0.49,0.71,0.67,0.8
flylinkdc.csv,0.68,0.61,0.8,0.46,0.62,0.51,0.67,0.43,0.86,0.56,0.57,0.49
fulguro.csv,0.96,0.98,0.89,0.96,0.89,0.99,0.96,0.82,0.92,0.86,0.86,0.9
fw4spl.csv,0.69,0.98,0.8,0.84,0.59,0.98,0.7,0.63,0.31,0.97,0.94,0.8
ipfire-wall.csv,0.94,0.55,0.79,0.62,0.86,0.61,0.95,0.59,0.95,0.69,0.78,0.68
jruby.csv,0.82,0.26,0.54,0.52,0.71,0.52,0.46,0.62,0.28,0.48,0.9,0.57
ldview.csv,0.51,0.56,0.73,0.66,0.7,0.61,0.95,0.44,0.43,0.76,0.44,0.62
nuttx.csv,0.36,0.27,0.61,0.41,0.43,0.45,0.57,0.38,0.85,0.5,0.5,0.49
oorexx.csv,0.48,0.91,0.88,0.57,0.55,0.67,0.61,0.56,0.96,0.61,0.51,0.52
uclmda.csv,0.61,0.99,0.98,0.86,0.5,0.97,0.88,0.65,0.26,0.8,0.0,0.91
vdsf.csv,0.41,0.99,0.87,0.62,0.53,0.99,0.47,0.37,0.32,0.53,0.41,0.41
