,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.33,0.0,0.0,0.33,0.33,0.0,0.91,0.29,1.0,1.0,1.0,0.09
dvt.csv,0.18,0.08,0.76,0.95,0.27,0.09,0.22,0.38,0.99,0.88,0.52,0.03
flylinkdc.csv,0.97,0.13,0.78,0.3,0.46,0.18,0.15,0.48,0.98,0.88,0.62,0.16
fulguro.csv,0.33,0.27,0.81,0.14,0.44,0.09,0.22,0.64,1.0,1.0,0.71,1.0
fw4spl.csv,0.12,0.27,0.81,0.27,0.32,0.96,0.32,0.17,0.97,0.79,0.5,0.1
ipfire-wall.csv,0.47,0.15,0.74,0.41,0.14,0.15,0.24,1.0,0.95,0.81,0.5,0.24
jruby.csv,0.25,0.09,0.82,0.45,0.25,0.13,0.22,0.44,0.99,0.98,0.5,0.15
ldview.csv,0.29,0.12,0.77,0.22,1.0,0.14,0.16,0.47,0.97,0.89,0.56,0.12
nuttx.csv,0.36,0.07,0.99,0.39,0.52,0.15,0.09,0.41,0.91,0.87,0.72,0.11
oorexx.csv,0.29,0.12,0.82,0.3,0.48,0.2,0.14,0.32,0.81,0.82,0.97,0.15
uclmda.csv,0.34,0.16,0.91,0.0,0.5,0.18,0.75,0.2,1.0,0.8,0.0,0.09
vdsf.csv,0.3,0.76,0.76,0.31,0.38,0.13,0.27,0.31,0.96,0.87,0.59,0.12
