,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.05,0.51,0.58,0.53,0.61,0.52,0.64,0.51,0.21,0.53,0.35,0.58,0.65,0.48,0.0
bscwweasel.csv,0.04,0.0,0.4,0.68,0.6,0.46,0.39,0.54,0.4,0.52,0.37,0.22,0.46,0.59,0.0
capcode.csv,0.04,0.57,0.63,0.59,0.42,0.75,0.51,0.59,0.56,0.54,0.35,0.5,0.34,0.61,0.21
cme.csv,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.02,0.05,0.0,0.38,0.0,0.0,0.0,1.0
emite.csv,0.66,0.25,0.47,0.34,0.68,0.28,0.13,0.26,0.2,0.52,0.38,0.7,0.33,0.25,0.43
fluent-nhibernate.csv,0.07,0.33,0.49,0.35,0.71,0.38,0.57,0.35,0.68,0.57,0.37,0.59,0.96,0.42,0.0
lamp.csv,0.57,0.66,0.44,0.55,0.09,0.48,0.35,0.62,0.53,0.71,0.0,0.33,0.77,0.57,0.78
mecat.csv,0.0,0.09,0.09,0.0,0.23,0.2,0.0,0.13,0.0,0.2,0.97,0.0,0.28,0.0,0.79
nodal.csv,0.02,0.47,0.48,0.48,0.49,0.58,0.02,0.26,0.72,0.68,0.62,0.3,0.81,0.56,0.58
pydev.csv,0.0,0.68,0.59,0.13,0.5,0.3,0.43,0.27,0.61,0.76,0.47,0.52,0.74,0.17,0.47
retromenu.csv,0.13,0.41,0.32,0.35,0.84,0.52,0.4,0.19,0.34,0.26,0.36,0.16,0.65,0.22,0.0
smbopensoft.csv,0.83,0.09,0.26,0.51,0.42,0.36,0.61,0.3,0.55,0.49,0.36,0.56,0.4,0.71,0.43
stuproa-cims.csv,0.0,0.17,0.47,0.49,0.69,0.38,0.02,0.65,0.47,0.56,0.85,0.33,0.76,0.72,0.58
thout.csv,0.37,0.34,0.67,0.49,0.55,0.17,0.13,0.36,0.09,0.48,0.41,0.0,0.76,0.57,0.6
uface.csv,0.0,0.0,0.2,0.67,0.56,0.58,0.0,0.53,0.59,0.61,0.65,0.56,0.38,0.94,0.0
