,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.96,0.78,0.52,0.6,0.57,0.75,0.55,0.64,0.95,0.66,0.84,0.76,0.51,0.65,1.01
bscwweasel.csv,0.97,1.0,0.68,0.39,0.5,0.62,0.76,0.67,0.68,0.63,0.71,0.86,0.61,0.48,1.03
capcode.csv,0.97,0.79,0.7,0.75,0.69,0.37,0.66,0.55,0.79,0.63,0.83,0.79,0.71,0.53,1.08
cme.csv,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.98,0.96,1.0,0.67,1.0,1.0,1.0,0.02
emite.csv,0.69,0.82,0.63,0.74,0.43,0.85,0.89,0.8,0.83,0.8,0.67,0.45,0.78,0.8,0.69
fluent-nhibernate.csv,0.94,0.74,0.58,0.71,0.42,0.68,0.57,0.77,0.58,0.63,0.72,0.56,0.19,0.66,1.01
lamp.csv,0.74,0.42,0.63,0.62,0.98,0.84,0.9,0.59,0.79,0.54,1.0,0.77,0.43,0.74,0.58
mecat.csv,1.0,0.93,0.93,1.0,0.82,0.86,1.0,0.89,1.0,0.83,0.12,1.0,0.77,1.0,0.32
nodal.csv,0.98,0.65,0.58,0.62,0.81,0.58,0.98,0.79,0.34,0.57,0.61,0.76,0.27,0.5,0.63
pydev.csv,1.0,0.61,0.57,0.97,0.82,0.92,0.75,0.94,0.68,0.37,0.85,0.73,0.5,0.97,0.85
retromenu.csv,0.89,0.67,0.73,0.71,0.26,0.62,0.72,0.87,0.72,0.78,0.77,0.87,0.58,0.82,1.02
smbopensoft.csv,0.25,0.98,0.94,0.79,0.91,0.8,0.66,0.82,0.56,0.81,0.81,0.77,0.67,0.37,0.87
stuproa-cims.csv,1.0,0.86,0.6,0.59,0.59,0.68,0.98,0.43,0.76,0.55,0.47,0.73,0.34,0.53,0.64
thout.csv,0.73,0.91,0.42,0.6,0.77,0.96,0.97,0.91,0.98,0.77,0.88,1.0,0.57,0.77,0.55
uface.csv,1.0,1.0,0.96,0.64,0.8,0.75,1.0,0.74,0.63,0.63,0.73,0.75,0.89,0.09,1.0
