,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.44,0.98,0.27,0.41,0.33,0.16,0.12,0.65,0.27,0.29,0.34,0.91,0.14,0.29
chrysalis.csv,0.46,0.26,0.15,0.22,0.14,0.0,0.0,0.4,0.09,0.35,0.36,0.0,0.19,0.94
etics.csv,0.96,0.37,0.25,0.34,0.33,0.1,0.33,0.46,0.29,0.32,0.56,0.54,0.12,0.3
flexpay.csv,0.16,0.6,0.12,0.19,0.26,0.0,0.0,0.71,0.93,0.41,0.21,0.0,0.14,0.23
ifmo-game-1.csv,0.0,0.12,0.0,0.06,0.22,1.0,0.0,0.13,0.06,0.24,0.2,0.0,0.1,0.05
jcl.csv,0.0,0.18,0.24,0.17,0.17,0.18,0.0,0.17,0.17,0.11,0.48,0.0,1.0,0.0
linuxsh.csv,0.36,0.37,0.95,0.21,0.17,0.07,0.0,0.56,0.24,0.06,0.24,0.05,0.19,0.28
mvdsv.csv,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.16,0.0
openmeetings.csv,0.52,0.26,0.2,1.0,0.33,0.2,0.18,0.27,0.25,0.22,0.58,0.86,0.33,0.37
plato.csv,0.3,0.63,0.24,0.22,0.41,0.09,0.18,0.99,0.27,0.38,0.58,0.84,0.19,0.26
projecteqemu.csv,0.43,0.12,0.33,0.42,0.18,0.14,0.27,0.2,0.18,0.1,0.99,0.05,0.32,0.21
scite-ru.csv,0.36,0.63,0.17,0.18,0.87,0.2,0.67,0.77,0.27,0.32,0.4,0.35,0.18,0.25
uclmda.csv,0.19,0.35,0.31,0.19,0.49,0.09,0.29,0.36,0.27,0.14,0.48,1.0,0.25,0.28
vrjuggler.csv,0.41,0.62,0.22,0.23,0.38,0.17,0.0,0.91,0.27,1.0,0.3,0.93,0.22,0.23
