,utgb.csv,fw4spl.csv,nassp.csv,super-tux.csv,soar.csv,mesa3d.csv,ipfilter.csv,tencompetence.csv,rockbox.csv
fw4spl.csv,0.54,0.63,0.68,0.58,0.4,0.44,0.38,0.92,0.44
ipfilter.csv,0.4,0.49,0.38,0.62,0.41,0.54,0.44,0.49,0.55
mesa3d.csv,0.39,0.41,0.42,0.45,0.5,0.48,0.37,0.47,0.5
nassp.csv,0.88,0.0,0.53,0.57,0.73,0.42,0.48,0.88,0.5
rockbox.csv,0.48,0.57,0.42,0.5,0.36,0.89,0.8,0.83,0.4
soar.csv,0.39,0.4,0.36,0.44,0.65,0.45,0.37,0.48,0.45
super-tux.csv,0.33,0.43,0.46,0.43,0.88,0.49,0.47,0.42,0.48
tencompetence.csv,0.94,0.95,0.86,0.8,0.47,0.79,0.8,0.7,0.86
utgb.csv,0.57,0.56,0.56,0.49,0.34,0.5,0.43,0.73,0.64
