,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.18,0.19,0.46,0.92,0.0,0.31,0.17,0.1,0.37,0.13,0.15,0.26,0.3,0.2,0.54,0.39,0.01,0.31,0.18,0.35
blogentis.csv,0.45,0.9,0.97,0.36,1.0,0.55,0.0,0.4,0.27,0.69,0.71,0.61,0.6,0.3,0.69,0.85,0.64,0.2,0.95,0.29
carabiner.csv,0.61,0.49,0.9,0.91,0.45,0.32,0.43,0.4,0.5,0.51,0.59,0.5,0.63,0.45,0.72,0.57,0.54,0.0,0.36,0.54
continuum-ide.csv,0.1,0.07,0.02,0.06,0.64,0.24,0.23,0.3,0.05,0.25,0.17,0.1,0.18,0.05,0.0,0.26,0.25,0.1,0.12,0.22
emulemorph.csv,0.0,0.13,0.0,0.16,0.09,0.28,0.04,0.3,0.12,0.03,0.11,0.0,0.0,0.0,0.05,0.11,0.03,0.08,0.1,0.04
free-evolution.csv,0.25,0.76,0.18,0.48,0.0,0.1,0.42,0.0,0.54,0.13,0.08,0.04,0.22,0.2,0.38,0.28,0.22,0.29,0.0,0.83
gtad.csv,0.0,0.07,0.03,0.03,0.0,0.03,0.16,0.0,0.07,0.28,0.02,0.04,0.01,0.05,0.18,0.2,0.08,0.02,0.01,0.02
htmlunit.csv,0.3,0.27,0.65,0.49,0.09,0.35,0.13,0.2,0.15,0.95,0.0,0.11,0.24,0.1,0.28,0.89,0.23,0.75,0.08,0.26
jaxen.csv,0.63,0.1,0.0,0.2,0.0,0.5,0.1,0.0,0.07,0.28,0.04,0.01,0.22,0.2,0.08,0.07,0.22,0.1,0.05,0.1
jsr308-langtools.csv,0.32,0.67,0.46,0.54,0.0,0.24,0.23,0.1,0.21,0.16,0.09,0.17,0.2,0.0,0.38,0.41,0.46,0.14,0.36,0.3
jvcl.csv,0.0,0.01,0.0,0.0,0.0,0.03,0.14,0.0,0.02,0.02,0.04,0.17,0.0,0.05,0.0,0.04,0.19,0.0,0.0,0.11
kaffeine.csv,0.93,1.0,1.0,0.99,0.09,0.54,0.58,0.5,0.8,0.97,0.65,0.39,0.95,0.95,1.0,0.87,0.74,0.49,0.98,0.84
m-m-m.csv,0.62,0.4,1.0,0.99,0.73,0.82,0.93,0.0,0.55,0.62,0.93,1.0,0.79,1.0,0.85,0.54,0.87,0.98,0.84,0.73
motu.csv,0.08,0.16,0.68,0.82,0.0,0.09,0.22,0.2,0.44,0.0,0.21,0.2,0.07,0.2,0.26,0.0,0.09,0.06,0.03,0.21
nh3d.csv,0.04,0.03,0.0,0.18,0.0,0.11,0.16,0.0,0.09,0.3,0.07,0.12,0.17,0.25,0.31,0.33,0.24,0.08,0.07,0.14
sarasvati.csv,0.1,0.01,0.0,0.3,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.12,0.0,0.15,0.0,0.07,0.06,0.0,0.01,0.0
taokgame.csv,0.14,0.0,0.0,0.13,0.0,0.06,0.16,0.0,0.0,0.15,0.03,0.1,0.26,0.1,0.1,0.07,0.21,0.04,0.06,0.01
wgs-assembler.csv,0.15,0.0,0.19,0.15,0.55,0.21,0.49,0.0,0.18,0.23,0.19,0.43,0.24,0.1,0.21,0.17,0.28,0.14,0.35,0.34
