,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.0,0.24,0.02,0.16,0.31,0.03,0.33,0.35,0.26,0.2,0.26,0.14,0.24,0.55,0.38,0.37,0.93,0.35,0.24,0.0
blogentis.csv,0.06,0.51,0.02,0.21,0.82,0.15,0.98,0.59,0.0,0.05,0.47,0.07,0.06,0.76,0.46,0.35,0.3,0.32,0.28,0.0
carabiner.csv,0.09,0.45,0.02,0.19,0.74,0.2,0.52,0.41,0.11,0.06,0.53,0.12,0.11,0.82,0.52,0.44,0.22,0.98,0.42,0.03
continuum-ide.csv,0.0,0.27,0.18,0.22,0.22,0.08,0.37,0.2,0.13,0.12,0.39,0.14,0.08,0.45,0.97,0.21,0.19,0.31,0.2,0.0
emulemorph.csv,0.0,0.25,0.0,0.1,0.04,0.0,0.2,0.41,0.1,0.0,0.04,0.0,0.91,0.0,0.0,0.0,0.08,0.07,0.04,0.0
free-evolution.csv,0.1,0.49,0.0,0.19,0.28,0.2,0.42,0.18,0.14,0.0,0.39,0.55,0.07,0.72,0.51,0.51,0.24,0.39,0.95,0.0
gtad.csv,1.0,0.17,0.0,0.0,0.08,0.5,0.21,0.0,0.0,0.11,0.11,0.0,0.0,0.28,0.08,0.62,0.24,0.16,0.0,0.0
htmlunit.csv,0.0,0.37,0.03,0.23,0.39,0.14,0.43,0.26,0.24,0.03,0.98,0.35,0.18,0.64,0.4,0.36,0.12,0.29,0.13,0.0
jaxen.csv,0.04,0.26,0.0,0.2,0.22,0.11,0.37,0.04,0.55,0.0,0.27,0.91,0.19,0.45,0.4,0.22,0.12,0.14,0.19,0.0
jsr308-langtools.csv,0.08,0.46,0.01,0.16,0.68,0.25,0.46,0.24,0.26,0.0,0.36,0.27,0.0,1.0,0.32,0.36,0.27,0.24,0.37,0.0
jvcl.csv,0.0,0.0,0.0,0.97,0.0,0.0,0.16,0.0,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaffeine.csv,0.03,0.53,0.02,0.16,0.99,0.17,0.38,0.7,0.21,0.03,0.47,0.1,0.11,0.66,0.44,0.37,0.26,0.55,0.37,0.02
m-m-m.csv,0.08,0.37,0.02,0.17,0.88,0.12,0.37,1.0,0.14,0.05,0.4,0.11,0.11,0.68,0.39,0.45,0.26,0.45,0.36,0.03
motu.csv,0.22,0.36,0.03,0.17,0.15,0.15,0.41,0.32,0.04,0.0,0.42,0.17,0.0,0.64,0.26,0.92,0.23,0.15,0.05,0.0
nh3d.csv,0.0,0.05,1.0,0.25,0.22,0.29,0.33,0.0,0.69,0.1,0.39,0.42,0.22,0.51,0.39,0.35,0.26,0.21,0.33,0.0
sarasvati.csv,0.36,0.05,0.0,0.13,0.12,1.0,0.08,0.15,0.31,0.0,0.09,0.13,0.0,0.11,0.11,0.22,0.25,0.09,0.16,0.0
taokgame.csv,0.15,0.0,0.0,0.11,0.22,0.09,0.21,0.04,1.0,0.0,0.06,0.14,0.17,0.27,0.25,0.12,0.2,0.08,0.27,0.0
wgs-assembler.csv,0.0,0.96,0.11,0.1,0.25,0.12,0.29,0.21,0.15,0.12,0.18,0.14,0.06,0.27,0.21,0.44,0.27,0.13,0.29,0.05
