,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.14,0.15,0.45,0.24,0.15,0.11,0.03,0.05,0.08
flylegacy.csv,0.58,0.1,0.27,0.33,0.32,0.84,0.6,0.24,0.97
ftm.csv,0.12,0.0,0.18,0.15,0.02,0.04,0.2,0.16,0.34
jguard.csv,0.88,0.25,0.82,0.81,0.73,0.32,0.92,0.71,1.0
m-a-d-n-e-s-s.csv,0.05,0.0,0.27,0.11,0.07,0.07,0.2,0.11,0.66
mob-sen-plat.csv,0.81,0.2,0.82,0.39,0.59,0.75,0.47,0.63,0.66
raygina.csv,0.3,0.0,0.59,0.37,0.17,0.29,0.15,0.13,0.07
upp-mirror.csv,0.47,0.1,0.64,0.37,0.39,0.34,0.37,0.16,0.07
yarp.csv,0.07,0.0,0.18,0.12,0.07,0.45,0.08,0.26,0.1
