,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.31,0.91,0.56,0.13,0.33,0.4,0.28,0.75,0.13,0.26
libtorrent.csv,0.85,0.91,1.0,0.93,0.88,1.0,0.93,1.0,0.87,0.96
mcmc-jags.csv,0.57,0.82,1.0,1.0,0.77,0.67,0.87,0.79,0.6,0.88
nebuladevice.csv,0.44,0.0,0.04,0.33,0.12,0.28,0.09,0.0,1.0,0.09
olap-navigator.csv,1.0,0.64,1.0,0.67,0.82,0.66,0.89,1.0,0.53,0.95
pidgin.csv,0.31,0.73,0.85,0.33,0.99,0.6,0.63,0.89,0.53,0.75
salasaga.csv,0.77,0.86,0.63,1.0,0.74,0.77,0.67,0.93,0.87,0.77
sepgsql.csv,0.21,0.18,0.78,0.27,0.37,0.39,0.04,0.04,0.0,0.03
xstore.csv,0.51,0.36,0.56,0.4,0.74,0.45,0.96,0.64,0.33,0.86
xtreemfs.csv,0.52,0.5,0.74,0.4,0.45,0.44,0.78,0.5,0.47,0.99
