,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.42,0.95,0.08,0.19,0.46,0.54,0.38,0.22,0.09,0.39
libtorrent.csv,0.79,0.62,0.11,0.51,0.8,1.0,0.7,0.28,0.32,0.91
mcmc-jags.csv,0.67,0.59,0.1,1.0,0.75,0.76,0.72,0.24,0.23,0.88
nebuladevice.csv,0.5,0.0,0.04,0.37,0.22,0.42,0.16,0.0,1.0,0.16
olap-navigator.csv,1.0,0.52,0.09,0.57,0.8,0.77,0.69,0.26,0.27,0.92
pidgin.csv,0.42,0.59,0.11,0.37,0.99,0.72,0.63,0.35,0.25,0.81
salasaga.csv,0.7,0.57,0.07,0.42,0.7,0.79,0.57,0.96,0.28,0.79
sepgsql.csv,0.3,0.24,0.88,0.31,0.47,0.53,0.08,0.07,0.0,0.07
xstore.csv,0.61,0.33,0.11,0.48,0.74,0.59,0.98,0.22,0.22,0.88
xtreemfs.csv,0.67,0.46,0.14,0.55,0.59,0.61,0.73,0.28,0.31,0.99
