,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.0,0.0,25.0,2.0,4.0,1.0,2.0,61.0,2.0,2.0
libtorrent.csv,0.0,0.0,21.0,0.0,0.0,0.0,3.0,45.0,3.0,4.0
mcmc-jags.csv,0.0,0.0,51.0,0.0,1.0,1.0,3.0,61.0,4.0,2.0
nebuladevice.csv,0.0,51.0,23.0,0.0,1.0,1.0,0.0,184.0,0.0,0.0
olap-navigator.csv,0.0,0.0,36.0,0.0,0.0,0.0,3.0,61.0,3.0,6.0
pidgin.csv,0.0,0.0,21.0,0.0,0.0,1.0,0.0,14.0,16.0,2.0
salasaga.csv,0.0,0.0,45.0,0.0,2.0,1.0,5.0,0.0,5.0,6.0
sepgsql.csv,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,85.0,0.0
xstore.csv,0.0,1.0,23.0,0.0,5.0,1.0,0.0,55.0,2.0,4.0
xtreemfs.csv,0.0,2.0,10.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
