,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.34,0.93,0.52,0.16,0.37,0.42,0.32,0.25,0.15,0.3
libtorrent.csv,0.62,0.57,0.56,0.72,0.48,1.0,0.54,0.36,0.57,0.48
mcmc-jags.csv,0.59,0.61,0.33,1.0,0.59,0.64,0.7,0.39,0.47,0.73
nebuladevice.csv,0.37,0.0,0.05,0.38,0.15,0.32,0.11,0.0,1.0,0.11
olap-navigator.csv,1.0,0.57,0.24,0.69,0.68,0.67,0.55,0.0,0.52,0.69
pidgin.csv,0.34,0.66,0.65,0.38,0.98,0.61,0.62,0.74,0.5,0.64
salasaga.csv,0.0,0.41,0.46,0.0,0.3,0.0,0.49,0.94,0.26,0.13
sepgsql.csv,0.24,0.21,0.82,0.31,0.38,0.41,0.05,0.05,0.0,0.04
xstore.csv,0.54,0.36,0.56,0.45,0.6,0.47,0.97,0.5,0.37,0.75
xtreemfs.csv,0.57,0.5,0.7,0.45,0.49,0.49,0.73,0.52,0.5,0.99
