,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.41,0.0,0.58,0.1,0.25,0.5,0.22,0.93,0.41,0.3
libtorrent.csv,0.7,0.77,0.8,0.62,0.83,0.0,0.8,0.9,0.76,0.84
mcmc-jags.csv,0.3,0.7,0.91,0.0,0.69,0.44,0.61,0.87,0.75,0.56
nebuladevice.csv,0.78,0.13,0.04,0.17,0.05,0.22,0.0,0.0,0.0,0.05
olap-navigator.csv,0.0,0.6,0.94,0.24,0.59,0.28,0.78,1.0,0.52,0.67
pidgin.csv,0.41,0.53,0.67,0.17,0.05,0.33,0.41,0.56,0.59,0.59
salasaga.csv,1.0,0.87,0.78,1.0,0.91,1.0,0.76,0.0,0.93,0.97
sepgsql.csv,0.48,0.27,0.0,0.17,0.55,0.5,0.07,0.0,0.07,0.05
xstore.csv,0.33,0.63,0.42,0.1,0.66,0.44,0.0,0.74,0.35,0.51
xtreemfs.csv,0.07,0.5,0.44,0.02,0.19,0.06,0.41,0.37,0.32,0.02
