,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.8,0.09,0.73,0.87,0.72,0.78,0.75,0.96,0.96,0.8
libtorrent.csv,0.72,0.77,0.8,0.62,0.84,0.0,0.81,0.9,0.77,0.84
mcmc-jags.csv,0.52,0.72,0.91,0.0,0.73,0.55,0.62,0.89,0.85,0.57
nebuladevice.csv,0.96,1.01,0.96,0.69,0.88,0.76,0.91,1.0,0.0,0.91
olap-navigator.csv,0.0,0.7,0.94,0.41,0.62,0.44,0.79,1.0,0.7,0.67
pidgin.csv,0.8,0.6,0.69,0.69,0.05,0.52,0.56,0.57,0.75,0.64
salasaga.csv,1.03,0.88,0.87,1.0,0.94,1.03,0.82,0.07,0.94,0.99
sepgsql.csv,0.92,0.86,0.22,0.75,0.84,0.79,0.96,0.96,1.0,0.97
xstore.csv,0.59,0.9,0.61,0.61,0.71,0.7,0.04,0.82,0.75,0.53
xtreemfs.csv,0.48,0.71,0.51,0.6,0.58,0.56,0.47,0.62,0.62,0.02
